BTRAFCON	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
0	1	3	200910423248	57.524	1	9	2
0	1	3	200910423778	53.887	1	4	2
0	1	3	200910423830	49.28	1	6	2
0	1	3	200910424170	27.146	1	3	2
0	1	3	200910425068	89.853	1	10	2
1	1	3	200910425233	27.146	1	3	2
0	1	3	200910425379	49.28	1	6	2
0	1	3	200910425500	27.146	1	3	2
99	1	3	200910775315	15.62	1	16	3
0	1	3	200910778054	19.133	1	10	3
0	1	3	200910778407	19.898	1	4	3
0	1	3	200910778589	15.62	1	16	3
1	1	3	200910779214	19.864	1	8	3
0	1	3	200910780038	19.133	1	10	3
1	1	3	200910780076	14.573	1	21	3
0	1	3	200910780821	19.133	1	10	3
0	1	3	200910780828	14.573	1	21	3
0	1	4	200910780851	308.859	1	1	3
0	1	3	200910780924	15.62	1	16	3
0	1	3	200910780960	19.898	1	4	3
1	1	3	200910781335	19.898	1	4	3
1	1	4	200910781686	308.859	1	1	3
1	1	3	200910781776	19.864	1	8	3
0	1	3	200910782264	15.62	1	16	3
1	1	3	200910782382	20.222	1	7	3
1	1	2	200910782577	4.974	1	4	3
0	1	3	200910782705	20.315	1	3	3
99	1	3	200910782831	14.758	1	13	3
0	1	3	200910784683	15.62	1	16	3
1	1	3	200910784936	20.222	1	7	3
99	1	4	200910784971	310.913	1	10	3
1	1	2	200910785152	4.783	1	10	3
1	1	3	200910785800	20.315	1	3	3
1	1	3	200910786809	14.758	1	13	3
1	1	3	200910786905	15.62	1	16	3
0	1	3	200911160455	13.047	1	2	4
1	1	3	200911161179	59.362	1	11	4
0	1	3	200911161202	33.921	1	7	4
1	1	3	200911161419	13.047	1	2	4
0	1	3	200911161645	13.047	1	2	4
0	1	3	200911161742	33.921	1	7	4
0	1	3	200911162331	13.047	1	3	4
1	1	3	200911162444	13.047	1	2	4
0	1	3	200911162490	13.047	1	2	4
1	1	3	200911162579	33.921	1	7	4
0	1	3	200911162627	27.137	1	6	4
1	1	3	200911162933	13.047	1	2	4
8	1	3	200911162933	13.047	1	2	4
0	1	3	200911163159	13.047	1	2	4
0	1	3	200911163555	27.137	1	6	4
1	1	4	200911163797	298.504	1	6	4
0	1	4	200911163847	313.116	1	1	4
0	1	3	200911163871	13.047	1	2	4
0	1	3	200911163880	13.047	1	2	4
0	1	3	200911163884	13.047	1	2	4
0	1	4	200911164100	313.116	1	1	4
0	1	4	200911164100	313.116	2	1	4
0	1	3	200911164180	13.047	1	2	4
0	1	3	200911164355	59.362	1	11	4
0	1	3	200911164613	13.047	1	3	4
0	1	3	200911164643	121.593	1	17	4
1	1	3	200911164655	13.047	1	2	4
0	1	3	200911164785	13.047	1	3	4
0	1	3	200911164785	13.047	2	3	4
1	1	3	200911164792	13.047	1	4	4
0	1	3	200911164794	13.047	1	3	4
0	1	3	200911164801	13.047	1	3	4
0	1	3	200911164823	13.047	1	1	4
1	1	3	200911164885	13.047	1	1	4
21	1	3	200911164959	13.047	1	2	4
0	1	3	200911164972	13.047	1	3	4
0	1	3	200911164972	13.047	2	3	4
1	1	3	200911165092	13.047	1	2	4
0	1	3	200911165258	13.047	1	2	4
0	1	3	200911165279	13.047	1	2	4
21	1	3	200911165406	59.362	1	11	4
0	1	3	200911165463	13.047	1	2	4
0	1	3	200911166367	13.047	1	3	4
0	1	3	200911166852	13.047	1	2	4
0	1	3	200911166889	33.921	1	7	4
0	1	4	200911167145	305.288	1	7	4
0	1	3	200911167320	33.921	1	7	4
0	1	3	200911167956	13.047	1	2	4
0	1	3	200911168059	13.047	1	3	4
0	1	3	200911168330	13.047	1	2	4
0	1	3	200911515825	22.423	1	16	5
99	1	3	200911515843	16.569	1	1	5
21	1	3	200911516014	16.569	1	2	5
0	1	3	200911516109	16.459	1	8	5
0	1	3	200911516138	16.459	1	8	5
1	1	3	200911516775	16.569	1	1	5
97	1	3	200911516843	16.569	1	2	5
0	1	3	200911516988	30.708	1	22	5
21	1	3	200912002687	20.242	1	26	6
0	1	3	200912002908	20.242	1	26	6
21	1	3	200912413633	12.435	1	4	8
21	1	3	200912413659	28.382	1	15	8
0	2	3	200912800578	19.051	1	1	11
1	2	3	200912800585	19.051	1	1	11
0	3	3	200913029201	19.19	1	7	9
97	3	3	200913030755	15.754	1	8	9
1	3	3	200913031463	15.754	1	8	9
0	3	3	200913033370	27.04	1	16	9
0	3	3	200913034753	19.19	1	2	9
0	2	3	200913531245	19.051	1	2	11
1	2	3	200913531608	19.051	1	2	11
1	2	3	200913531787	19.051	1	3	11
0	2	3	200913531900	19.051	1	6	11
1	2	3	200913532026	19.051	1	2	11
1	2	3	200913532453	19.051	1	2	11
0	2	3	200913532743	19.051	1	6	11
0	2	4	200914063227	308.827	1	1	12
0	2	4	200914063279	308.827	1	3	12
0	2	3	200914063420	18.908	1	1	12
0	2	3	200914063457	20.788	1	9	12
0	2	3	200914063747	18.908	1	1	12
0	2	3	200914063846	12.211	1	5	12
1	2	3	200914064599	83.685	1	14	12
0	2	3	200914064812	20.788	1	9	12
1	2	3	200914734648	38.967	1	1	13
1	2	3	200914734865	38.967	1	6	13
0	2	3	200914735030	38.967	1	5	13
0	2	3	200914735043	38.967	1	1	13
0	2	3	200914735210	38.967	1	1	13
0	2	4	200914735589	311.734	1	5	13
21	2	3	200914735720	38.967	1	1	13
1	2	3	200914735734	38.967	1	1	13
99	2	3	200914735940	38.967	1	6	13
0	2	3	200914736040	38.967	1	2	13
0	2	3	200914736040	38.967	2	2	13
1	2	3	200914736310	38.967	1	1	13
21	2	3	200914736384	38.967	1	2	13
0	2	3	200914736425	38.967	1	1	13
0	2	3	200914736542	38.967	1	5	13
1	2	3	200914736548	38.967	1	1	13
21	2	3	200914736559	38.967	1	5	13
0	2	3	200914736657	38.967	1	1	13
21	2	3	200914736783	38.967	1	6	13
1	2	3	200914736795	38.967	1	6	13
0	2	3	200914736819	38.967	1	1	13
1	2	3	200914736820	38.967	1	1	13
0	2	3	200914737057	38.967	1	3	13
0	2	3	200914737093	38.967	1	5	13
21	2	3	200914737309	38.967	1	1	13
0	2	5	200914738227	77.933	1	1	13
1	1	3	200914834853	18.566	1	5	21
