OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
135	6	200910422238	135.73	3	1	1	98	3	2	1	1
2	4	200910422277	298.606	4	1	1	4	2	2	1	1
2	4	200910422289	295.682	5	1	4	1	6	2	1	1
140	6	200910422292	147.841	3	1	4	98	6	2	1	1
103	6	200910422292	147.841	1	2	0	98	6	2	1	1
145	5	200910422295	49.28	3	1	1	98	6	2	1	1
102	5	200910422295	49.28	1	2	0	98	6	2	1	1
137	6	200910422297	147.841	3	1	1	98	6	2	1	1
124	4	200910422306	298.606	2	1	1	98	1	2	1	1
138	6	200910422310	135.73	3	1	1	98	1	2	1	1
2	5	200910422315	81.438	5	1	4	1	3	2	1	1
2	4	200910422318	298.606	5	1	3	1	3	2	1	1
2	6	200910422323	135.73	4	1	1	2	3	2	1	1
135	6	200910422328	179.707	3	1	1	98	10	2	1	1
126	4	200910422331	269.56	2	1	4	98	10	2	1	1
140	6	200910422336	161.66	3	1	99	98	4	2	1	1
101	6	200910422336	161.66	1	2	0	98	4	2	1	1
138	5	200910422337	53.887	3	1	99	98	4	2	1	1
101	5	200910422337	53.887	1	2	0	98	4	2	1	1
2	4	200910422358	323.32	4	1	4	3	4	2	1	1
2	2	200910422361	53.887	5	1	3	1	4	2	1	1
2	6	200910422362	161.66	5	1	4	1	4	2	1	1
135	6	200910422366	179.707	3	1	4	98	10	2	1	1
2	4	200910422367	269.56	5	1	4	1	10	2	1	1
2	2	200910422371	27.146	4	1	1	3	1	2	1	1
2	4	200910422389	298.606	4	1	1	4	3	2	1	1
124	4	200910422393	295.682	2	1	1	98	6	2	1	1
145	5	200910422394	49.28	3	1	1	98	6	2	1	1
2	6	200910422398	147.841	5	1	2	1	6	2	1	1
121	3	200910422400	49.28	2	1	1	98	6	2	1	1
121	3	200910422402	49.28	2	1	3	98	6	2	1	1
135	4	200910422406	295.682	3	1	11	98	6	2	1	1
135	4	200910422406	295.682	3	2	2	98	6	2	1	1
135	5	200910422411	49.28	3	1	1	98	6	2	1	1
2	4	200910422413	295.682	4	1	1	4	6	2	1	1
137	5	200910422416	49.28	3	1	1	98	6	2	1	1
137	6	200910422417	147.841	3	1	3	98	6	2	1	1
137	5	200910422418	49.28	3	1	1	98	6	2	1	1
