MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
21	1	3	200910422400	49.28	1	6	2
0	1	3	200910422402	49.28	1	6	2
0	1	4	200910422660	295.682	1	6	2
22	1	3	200910423177	53.887	1	4	2
4	1	3	200910423248	57.524	1	9	2
22	1	3	200910423769	53.887	1	4	2
5	1	3	200910423778	53.887	1	4	2
3	1	3	200910423830	49.28	1	6	2
29	1	3	200910423983	49.28	1	6	2
7	1	3	200910424170	27.146	1	3	2
0	1	3	200910424517	27.146	1	1	2
22	1	3	200910424570	53.887	1	4	2
0	1	3	200910425068	89.853	1	10	2
0	1	4	200910425142	323.32	1	4	2
27	1	3	200910425186	49.28	1	6	2
7	1	3	200910425233	27.146	1	3	2
0	1	5	200910425324	89.853	1	10	2
0	1	3	200910425379	49.28	1	6	2
21	1	3	200910425443	89.853	1	10	2
3	1	3	200910425500	27.146	1	3	2
0	1	4	200910425643	269.56	1	10	2
0	1	3	200910774928	14.573	1	21	3
0	1	4	200910774974	308.859	1	1	3
7	1	3	200910775315	15.62	1	16	3
0	1	3	200910775349	19.898	1	4	3
99	1	3	200910775683	20.315	1	3	3
0	1	4	200910775752	312.405	1	16	3
0	1	4	200910775752	312.405	2	16	3
0	1	4	200910775752	312.405	3	16	3
0	1	3	200910775841	14.758	1	13	3
0	1	4	200910775878	306.041	1	21	3
0	1	3	200910776008	20.222	1	7	3
0	1	3	200910776036	14.758	1	13	3
0	1	3	200910776319	19.898	1	4	3
0	1	3	200910776357	14.573	1	21	3
0	1	3	200910776821	14.573	1	21	3
0	1	3	200910776831	14.573	1	21	3
29	1	3	200910776857	20.315	1	3	3
0	1	4	200910777025	306.041	1	21	3
0	1	3	200910777051	19.864	1	8	3
0	1	3	200910777073	17.436	1	1	3
21	1	3	200910777100	14.758	1	13	3
0	1	3	200910778054	19.133	1	10	3
0	1	3	200910778245	14.573	1	21	3
0	1	3	200910778289	14.573	1	21	3
99	1	3	200910778407	19.898	1	4	3
0	1	4	200910778573	309.802	1	3	3
0	1	4	200910778580	312.405	1	16	3
3	1	3	200910778589	15.62	1	16	3
21	1	3	200910778615	20.222	1	7	3
