REGION	STRATUM	CASENUM	WEIGHT	EVENTNUM	PGAD	PVEHNO	PJ	PSU
1	4	200910422331	269.56	1	1	1	10	2
1	4	200910422478	295.682	1	4	1	6	2
1	4	200910422660	295.682	1	4	1	6	2
1	4	200910422742	269.56	1	3	1	10	2
1	6	200910423222	179.707	2	1	1	10	2
1	4	200910423273	323.32	2	3	1	4	2
1	4	200910423300	298.606	1	2	1	1	2
1	5	200910423306	106.645	1	1	1	16	2
1	4	200910423316	319.935	1	1	1	16	2
1	4	200910423712	323.32	1	1	1	4	2
1	4	200910423773	298.606	1	4	1	2	2
1	3	200910423983	49.28	1	3	1	6	2
1	4	200910424026	323.32	1	1	1	4	2
1	3	200910424159	27.146	2	3	1	1	2
1	4	200910424167	298.606	1	2	1	3	2
1	6	200910424190	161.66	1	4	1	4	2
1	6	200910424220	106.645	1	2	1	16	2
1	4	200910424245	323.32	1	3	1	4	2
1	6	200910424262	135.73	2	99	1	2	2
1	4	200910424273	287.619	1	3	1	9	2
1	4	200910424341	298.606	1	3	1	1	2
1	1	200910424540	49.28	2	1	1	6	2
1	4	200910424564	323.32	1	3	1	4	2
1	6	200910425221	135.73	6	4	1	2	2
1	6	200910425221	135.73	7	3	2	2	2
1	4	200910425445	269.56	1	12	1	10	2
1	4	200910425520	295.682	1	1	1	6	2
1	4	200910425643	269.56	1	4	1	10	2
1	4	200910425737	269.56	1	4	1	10	2
1	4	200910425798	269.56	1	4	1	10	2
1	4	200910774726	307.888	1	3	1	8	3
1	4	200910774845	308.386	1	2	1	7	3
1	2	200910774995	5.079	2	1	1	3	3
1	2	200910774995	5.079	3	1	2	3	3
1	2	200910774995	5.079	4	2	3	3	3
1	2	200910774995	5.079	5	1	4	3	3
1	2	200910774995	5.079	6	1	5	3	3
1	2	200910774995	5.079	7	1	6	3	3
1	4	200910775272	312.405	2	3	1	16	3
1	4	200910775352	307.888	1	3	1	8	3
1	4	200910775387	306.041	1	3	1	21	3
1	2	200910775719	2.491	1	4	1	1	3
1	4	200910775752	312.405	1	3	1	16	3
1	4	200910775878	306.041	1	3	1	21	3
1	4	200910775913	310.913	1	4	1	10	3
1	4	200910775913	310.913	2	4	2	10	3
1	4	200910775960	309.802	1	1	1	3	3
1	4	200910776289	307.888	1	99	1	8	3
1	5	200910776439	66.023	2	12	1	3	3
1	4	200910776447	309.802	1	3	1	3	3
1	4	200910776683	309.918	1	4	1	13	3
1	4	200910777025	306.041	1	14	1	21	3
1	4	200910777227	306.041	1	1	1	21	3
1	3	200910777272	20.315	2	3	1	3	3
1	1	200910777274	5.079	1	99	1	3	3
1	5	200910777665	66.023	3	12	1	3	3
1	5	200910777665	66.023	4	12	2	3	3
1	4	200910777682	306.041	1	2	1	21	3
1	5	200910777696	66.966	2	3	1	10	3
1	5	200910777696	66.966	3	4	2	10	3
1	4	200910778273	309.918	1	2	1	13	3
1	4	200910778273	309.918	2	4	2	13	3
1	1	200910778347	5.056	2	3	1	7	3
1	4	200910778573	309.802	1	3	1	3	3
1	4	200910778580	312.405	1	3	1	16	3
1	6	200910778613	140.201	2	3	1	13	3
1	6	200910778613	140.201	3	2	2	13	3
1	4	200910779021	306.041	2	3	1	21	3
1	4	200910779283	310.913	1	12	1	10	3
1	4	200910779380	309.802	1	1	1	3	3
1	4	200910779410	312.405	1	4	1	16	3
1	4	200910779410	312.405	2	99	2	16	3
1	6	200910779718	141.554	1	4	1	7	3
1	4	200910779898	309.802	1	4	1	3	3
1	4	200910780320	309.802	1	4	1	3	3
1	4	200910780320	309.802	2	4	2	3	3
1	4	200910780320	309.802	3	4	3	3	3
1	4	200910780352	306.041	1	1	1	21	3
1	4	200910780422	307.888	1	3	1	8	3
1	4	200910780443	309.918	1	4	1	13	3
1	6	200910780460	139.285	1	3	1	4	3
1	4	200910780484	308.386	1	4	1	7	3
1	4	200910780792	309.918	1	3	1	13	3
1	4	200910780808	306.041	1	1	1	21	3
1	1	200910780976	5.079	1	3	1	3	3
1	4	200910781356	307.888	1	3	1	8	3
1	4	200910781395	310.913	1	1	1	10	3
1	4	200910781535	312.405	1	3	1	16	3
1	1	200910782304	7.379	1	3	1	13	3
1	6	200910782428	145.734	3	2	1	21	3
1	4	200910782485	309.802	1	3	1	3	3
1	4	200910782691	310.913	1	3	1	10	3
1	2	200910782743	5.079	2	4	1	3	3
1	4	200910782750	309.802	1	3	1	3	3
1	4	200910782754	308.386	1	3	1	7	3
1	6	200910782863	139.046	2	3	1	8	3
1	6	200910782863	139.046	3	3	1	8	3
1	5	200910782878	69.523	2	12	1	8	3
1	5	200910782878	69.523	3	12	2	8	3
1	1	200910782933	14.573	1	3	1	21	3
1	5	200910782936	72.867	2	1	1	21	3
1	3	200910783111	19.898	1	3	1	4	3
1	3	200910783174	14.758	2	4	1	13	3
1	4	200910783286	309.918	1	3	1	13	3
1	4	200910783353	308.386	1	1	1	7	3
1	5	200910783868	72.867	1	4	1	21	3
1	4	200910783922	308.859	1	4	1	1	3
1	4	200910783975	309.802	2	4	1	3	3
