BTRAFCON	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
21	1	3	201010426855	89.853	1	10	2
0	1	3	201010427040	49.28	1	6	2
0	1	3	201010427175	53.887	1	4	2
0	1	3	201010427684	89.853	1	10	2
0	1	3	201010427766	49.28	1	6	2
3	1	3	201010427981	53.887	1	4	2
3	1	4	201010429022	269.56	1	10	2
3	1	3	201010787440	15.62	1	16	3
3	1	3	201010788202	17.436	1	1	3
0	1	3	201010789670	19.133	1	10	3
3	1	4	201010789972	296.785	1	16	3
3	1	3	201010792500	19.864	1	8	3
0	1	3	201010792748	14.573	1	21	3
0	1	3	201010793054	15.62	1	16	3
97	1	3	201010793072	15.62	1	16	3
3	1	3	201010793546	14.573	1	21	3
21	1	3	201010793700	20.315	1	3	3
0	1	3	201010793817	15.62	1	16	3
0	1	4	201010793823	295.16	1	13	3
0	1	3	201010793846	19.898	1	4	3
0	1	3	201010793914	20.315	1	3	3
0	1	3	201010793971	14.573	1	21	3
0	1	3	201010794146	15.62	1	16	3
3	1	2	201010794298	5.079	1	3	3
3	1	3	201010794630	15.62	1	16	3
0	1	3	201010795096	20.315	1	3	3
0	1	3	201010795363	20.315	1	3	3
0	1	3	201010795650	19.864	1	8	3
3	1	4	201010795672	296.564	1	10	3
97	1	3	201010795730	14.573	1	21	3
3	1	3	201010795790	20.315	1	3	3
3	1	4	201010795871	292.99	1	8	3
3	1	3	201010796008	15.62	1	16	3
1	1	3	201010796242	14.573	1	21	3
0	1	2	201010796283	5.056	1	7	3
97	1	3	201010796544	19.864	1	8	3
0	1	3	201010796642	20.315	1	3	3
0	1	2	201010796788	2.491	1	1	3
3	1	3	201010797130	14.758	1	13	3
3	1	2	201010797505	4.974	1	4	3
3	1	4	201010797628	292.99	1	8	3
0	1	3	201010797732	20.315	1	3	3
0	1	4	201010797757	291.467	1	21	3
3	1	3	201010798330	14.573	1	21	3
0	1	4	201010798489	291.467	1	21	3
0	1	3	201010799481	15.62	1	16	3
0	1	3	201011169992	13.047	1	2	4
0	1	3	201011170499	13.047	1	2	4
0	1	3	201011170531	13.047	1	3	4
0	1	3	201011171104	13.047	1	1	4
3	1	3	201011171264	13.047	1	2	4
0	1	3	201011171273	13.047	1	2	4
21	1	3	201011171426	13.047	1	1	4
0	1	3	201011171849	13.047	1	2	4
21	1	3	201011172000	33.921	1	7	4
3	1	3	201011172697	13.047	1	2	4
0	1	3	201011172851	13.047	1	3	4
0	1	3	201011172851	13.047	2	3	4
0	1	3	201011173218	13.047	1	3	4
0	1	3	201011173411	121.593	1	17	4
0	1	3	201011173561	33.921	1	7	4
3	1	3	201011173871	13.047	1	3	4
3	1	3	201011173891	13.047	1	3	4
0	1	3	201011173934	13.047	1	3	4
0	1	3	201011173957	13.047	1	2	4
21	1	3	201011174350	27.137	1	6	4
21	1	3	201011174805	13.047	1	3	4
0	1	3	201011174969	13.047	1	2	4
3	1	3	201011175069	13.047	1	1	4
0	1	3	201011175284	13.047	1	3	4
3	1	3	201011175361	27.137	1	6	4
0	1	3	201011175737	13.047	1	2	4
0	1	3	201011175851	13.047	1	2	4
0	1	3	201011175876	13.047	1	2	4
0	1	3	201011175881	13.047	1	2	4
0	1	3	201011175931	13.047	1	3	4
3	1	3	201011176043	13.047	1	3	4
3	1	3	201011176839	13.047	1	2	4
3	1	3	201011176873	13.047	1	3	4
0	1	4	201011177234	300.07	1	1	4
0	1	3	201011177480	13.047	1	2	4
21	1	3	201011178019	13.047	1	2	4
21	1	3	201011178165	59.362	1	11	4
3	1	3	201011178603	59.362	1	11	4
0	1	3	201011178613	13.047	1	3	4
3	1	3	201011518583	21.098	1	11	5
3	1	3	201011518659	16.569	1	1	5
21	1	3	201011518813	16.569	1	1	5
21	1	3	201011518950	16.459	1	8	5
3	1	3	201011519024	16.459	1	8	5
0	1	3	201011519245	16.459	1	8	5
97	1	3	201011519670	16.459	1	8	5
21	1	3	201011519858	16.569	1	2	5
97	1	6	201011520047	134.54	1	16	5
21	1	3	201011520270	16.569	1	2	5
21	1	4	201012003206	303.637	1	26	6
3	1	3	201012003212	20.242	1	26	6
97	1	3	201012003280	16.363	1	5	6
3	1	2	201012003292	14.82	1	20	6
3	1	3	201012003368	20.242	1	26	6
3	1	6	201012003596	133.38	1	20	6
