MDRMANAV	REGION	STRATUM	CASENUM	WEIGHT	PJ	PSU	VEHNO
98	1	4	201010425911	298.606	1	2	1
0	1	4	201010425911	298.606	1	2	2
98	1	1	201010425916	27.146	1	2	1
98	1	6	201010425917	135.73	1	2	1
98	1	3	201010425922	27.146	3	2	1
98	1	4	201010425929	298.606	3	2	1
98	1	4	201010425929	298.606	3	2	2
0	1	6	201010425938	135.73	3	2	1
4	1	6	201010425938	135.73	3	2	2
0	1	6	201010425938	135.73	3	2	3
0	1	5	201010425942	54.292	3	2	1
0	1	5	201010425942	54.292	3	2	2
98	1	5	201010425943	54.292	2	2	1
98	1	6	201010425946	89.853	10	2	1
4	1	6	201010425947	89.853	10	2	1
0	1	6	201010425948	89.853	10	2	1
98	1	6	201010425948	89.853	10	2	2
98	1	4	201010425949	269.56	10	2	1
98	1	4	201010425949	269.56	10	2	2
3	1	6	201010425951	89.853	10	2	1
98	1	4	201010425955	298.606	2	2	1
98	1	4	201010425955	298.606	2	2	2
98	1	6	201010425981	135.73	1	2	1
0	1	4	201010425985	269.434	4	2	1
0	1	4	201010425985	269.434	4	2	2
0	1	4	201010425985	269.434	4	2	3
98	1	6	201010425996	107.773	4	2	1
0	1	6	201010425996	107.773	4	2	2
98	1	4	201010426002	298.606	3	2	1
98	1	4	201010426002	298.606	3	2	2
0	1	6	201010426006	135.73	3	2	1
98	1	3	201010426009	27.146	3	2	1
98	1	4	201010426012	269.56	10	2	1
98	1	5	201010426013	89.853	10	2	1
98	1	6	201010426016	89.853	10	2	1
98	1	6	201010426017	147.841	6	2	1
98	1	5	201010426022	49.28	6	2	1
98	1	5	201010426023	89.853	10	2	1
98	1	5	201010426024	49.28	6	2	1
92	1	6	201010426026	89.853	10	2	1
98	1	6	201010426028	89.853	10	2	1
98	1	4	201010426029	295.682	6	2	1
0	1	4	201010426030	269.56	10	2	1
0	1	4	201010426030	269.56	10	2	2
0	1	4	201010426030	269.56	10	2	3
98	1	6	201010426032	89.853	10	2	1
98	1	6	201010426032	89.853	10	2	2
98	1	6	201010426035	89.853	10	2	1
0	1	5	201010426038	89.853	10	2	1
98	1	5	201010426038	89.853	10	2	2
98	1	6	201010426039	147.841	6	2	1
98	1	4	201010426041	295.682	6	2	1
0	1	5	201010426043	49.28	6	2	1
4	1	5	201010426066	53.887	4	2	1
0	1	5	201010426066	53.887	4	2	2
0	1	5	201010426066	53.887	4	2	3
98	1	4	201010426067	269.434	4	2	1
0	1	6	201010426069	107.773	4	2	1
0	1	6	201010426069	107.773	4	2	2
0	1	6	201010426071	107.773	4	2	1
0	1	6	201010426071	107.773	4	2	2
0	1	4	201010426075	298.606	1	2	1
0	1	4	201010426075	298.606	1	2	2
98	1	3	201010426086	27.146	3	2	1
98	1	5	201010426092	49.28	6	2	1
98	1	5	201010426092	49.28	6	2	2
98	1	1	201010426093	49.28	6	2	1
0	1	6	201010426099	135.73	2	2	1
98	1	1	201010426100	27.146	2	2	1
98	1	1	201010426104	27.146	1	2	1
98	1	6	201010426105	147.841	6	2	1
4	1	1	201010426106	49.28	6	2	1
0	1	1	201010426106	49.28	6	2	2
98	1	1	201010426110	27.146	1	2	1
98	1	4	201010426111	295.682	6	2	1
0	1	5	201010426112	49.28	6	2	1
98	1	5	201010426112	49.28	6	2	2
98	1	5	201010426116	49.28	6	2	1
98	1	5	201010426116	49.28	6	2	2
98	1	6	201010426124	135.73	1	2	1
98	1	6	201010426125	147.841	6	2	1
99	1	4	201010426127	295.682	6	2	1
98	1	5	201010426128	49.28	6	2	1
0	1	5	201010426128	49.28	6	2	2
98	1	5	201010426129	54.292	1	2	1
98	1	2	201010426132	49.28	6	2	1
98	1	2	201010426132	49.28	6	2	2
98	1	6	201010426141	147.841	6	2	1
98	1	6	201010426141	147.841	6	2	2
99	1	4	201010426145	298.606	3	2	1
98	1	6	201010426146	135.73	3	2	1
98	1	6	201010426146	135.73	3	2	2
98	1	5	201010426152	54.292	3	2	1
0	1	4	201010426163	287.619	9	2	1
0	1	6	201010426164	115.047	9	2	1
98	1	5	201010426165	57.524	9	2	1
0	1	5	201010426166	57.524	9	2	1
0	1	5	201010426166	57.524	9	2	2
4	1	2	201010426169	57.524	9	2	1
98	1	6	201010426172	115.047	9	2	1
0	1	5	201010426173	53.887	4	2	1
4	1	5	201010426173	53.887	4	2	2
98	1	6	201010426176	115.047	9	2	1
98	1	5	201010426177	53.887	4	2	1
0	1	5	201010426177	53.887	4	2	2
0	1	5	201010426178	57.524	9	2	1
0	1	5	201010426178	57.524	9	2	2
98	1	1	201010426180	57.524	9	2	1
0	1	6	201010426181	107.773	4	2	1
0	1	6	201010426181	107.773	4	2	2
0	1	3	201010426183	53.887	4	2	1
0	1	3	201010426183	53.887	4	2	2
98	1	4	201010426185	287.619	9	2	1
98	1	6	201010426187	115.047	9	2	1
98	1	6	201010426190	115.047	9	2	1
0	1	6	201010426192	115.047	9	2	1
0	1	6	201010426192	115.047	9	2	2
0	1	6	201010426192	115.047	9	2	3
0	1	6	201010426192	115.047	9	2	4
0	1	4	201010426194	269.56	10	2	1
0	1	4	201010426194	269.56	10	2	2
98	1	5	201010426197	57.524	9	2	1
0	1	5	201010426197	57.524	9	2	2
98	1	4	201010426198	269.56	10	2	1
0	1	5	201010426200	89.853	10	2	1
98	1	5	201010426201	57.524	9	2	1
0	1	5	201010426201	57.524	9	2	2
98	1	5	201010426203	57.524	9	2	1
98	1	6	201010426204	89.853	10	2	1
98	1	6	201010426207	115.047	9	2	1
0	1	4	201010426208	269.56	10	2	1
98	1	4	201010426208	269.56	10	2	2
98	1	5	201010426209	57.524	9	2	1
98	1	6	201010426210	89.853	10	2	1
