MTM_CRSH	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
0	1	3	201010426536	27.146	1	3	2
6	1	3	201010426843	27.146	1	3	2
21	1	3	201010426855	89.853	1	10	2
0	1	3	201010427040	49.28	1	6	2
21	1	4	201010427109	298.606	1	1	2
0	1	3	201010427129	49.28	1	6	2
0	1	3	201010427151	27.146	1	1	2
0	1	3	201010427175	53.887	1	4	2
0	1	6	201010427233	135.73	1	1	2
4	1	3	201010427239	53.887	1	4	2
4	1	3	201010427239	53.887	2	4	2
4	1	3	201010427239	53.887	3	4	2
4	1	3	201010427239	53.887	4	4	2
2	1	4	201010427653	295.682	1	6	2
0	1	3	201010427684	89.853	1	10	2
0	1	3	201010427766	49.28	1	6	2
0	1	3	201010427981	53.887	1	4	2
1	1	3	201010428111	49.28	1	6	2
0	1	3	201010428135	27.146	1	3	2
2	1	3	201010428912	57.524	1	9	2
4	1	4	201010428962	269.56	1	10	2
2	1	4	201010429022	269.56	1	10	2
0	1	4	201010429095	269.56	1	10	2
0	1	3	201010787368	14.758	1	13	3
8	1	3	201010787440	15.62	1	16	3
0	1	3	201010787610	19.133	1	10	3
1	1	3	201010787678	14.573	1	21	3
4	1	3	201010787690	20.222	1	7	3
4	1	3	201010788146	14.573	1	21	3
0	1	3	201010788178	20.222	1	7	3
2	1	3	201010788202	17.436	1	1	3
98	1	3	201010788253	14.758	1	13	3
0	1	3	201010788538	19.864	1	8	3
98	1	3	201010788864	20.315	1	3	3
0	1	3	201010788972	14.573	1	21	3
0	1	4	201010789041	296.785	1	16	3
0	1	3	201010789047	15.62	1	16	3
1	1	3	201010789132	19.898	1	4	3
1	1	4	201010789155	293.494	1	4	3
1	1	3	201010789502	14.573	1	21	3
2	1	3	201010789505	14.573	1	21	3
0	1	3	201010789533	20.222	1	7	3
0	1	2	201010789606	5.079	1	3	3
0	1	3	201010789627	20.315	1	3	3
21	1	3	201010789670	19.133	1	10	3
0	1	3	201010789708	19.864	1	8	3
12	1	3	201010789831	17.436	1	1	3
21	1	4	201010789972	296.785	1	16	3
0	1	3	201010790143	14.573	1	21	3
1	1	3	201010790257	20.315	1	3	3
99	1	3	201010790479	14.573	1	21	3
1	1	3	201010790578	19.133	1	10	3
98	1	3	201010790685	20.222	1	7	3
98	1	3	201010790685	20.222	2	7	3
0	1	3	201010791046	20.315	1	3	3
0	1	2	201010791086	5.079	1	3	3
0	1	2	201010791086	5.079	2	3	3
0	1	4	201010791286	295.16	1	13	3
0	1	3	201010791295	14.758	1	13	3
0	1	3	201010791295	14.758	2	13	3
99	1	3	201010791462	20.315	1	3	3
12	1	3	201010791526	19.898	1	4	3
0	1	3	201010791764	14.573	1	21	3
0	1	4	201010791765	295.16	1	13	3
1	1	3	201010792080	20.222	1	7	3
12	1	3	201010792139	14.758	1	13	3
0	1	3	201010792500	19.864	1	8	3
4	1	4	201010792514	296.564	1	10	3
6	1	3	201010792551	14.573	1	21	3
1	1	4	201010792643	295.16	1	13	3
0	1	3	201010792713	15.62	1	16	3
2	1	3	201010792748	14.573	1	21	3
99	1	4	201010792830	292.99	1	8	3
1	1	3	201010792856	17.436	1	1	3
0	1	3	201010792975	20.222	1	7	3
0	1	3	201010793054	15.62	1	16	3
0	1	3	201010793072	15.62	1	16	3
0	1	3	201010793342	19.864	1	8	3
12	1	4	201010793371	293.914	1	1	3
1	1	3	201010793462	19.898	1	4	3
2	1	3	201010793462	19.898	1	4	3
0	1	3	201010793546	14.573	1	21	3
0	1	3	201010793572	19.133	1	10	3
0	1	3	201010793652	14.758	1	13	3
0	1	3	201010793700	20.315	1	3	3
0	1	3	201010793817	15.62	1	16	3
17	1	4	201010793823	295.16	1	13	3
0	1	3	201010793846	19.898	1	4	3
21	1	3	201010793884	19.864	1	8	3
4	1	3	201010793914	20.315	1	3	3
0	1	3	201010793971	14.573	1	21	3
0	1	3	201010793981	14.573	1	21	3
0	1	3	201010794073	14.758	1	13	3
17	1	3	201010794146	15.62	1	16	3
1	1	3	201010794217	14.573	1	21	3
0	1	2	201010794218	14.573	1	21	3
0	1	3	201010794227	14.573	1	21	3
0	1	3	201010794249	14.573	1	21	3
1	1	3	201010794295	20.315	1	3	3
12	1	2	201010794298	5.079	1	3	3
1	1	3	201010794339	14.758	1	13	3
0	1	2	201010794361	4.974	1	4	3
0	1	2	201010794361	4.974	2	4	3
21	1	3	201010794376	19.898	1	4	3
21	1	3	201010794554	14.758	1	13	3
21	1	3	201010794578	20.222	1	7	3
7	1	3	201010794630	15.62	1	16	3
4	1	3	201010794712	20.315	1	3	3
0	1	2	201010794872	2.491	1	1	3
0	1	3	201010795014	17.436	1	1	3
12	1	3	201010795041	14.573	1	21	3
0	1	3	201010795056	14.573	1	21	3
2	1	3	201010795096	20.315	1	3	3
0	1	3	201010795257	14.758	1	13	3
16	1	3	201010795363	20.315	1	3	3
12	1	3	201010795517	14.573	1	21	3
0	1	3	201010795650	19.864	1	8	3
3	1	4	201010795672	296.564	1	10	3
0	1	3	201010795699	19.133	1	10	3
0	1	3	201010795699	19.133	2	10	3
0	1	3	201010795699	19.133	3	10	3
1	1	4	201010795721	293.494	1	4	3
0	1	3	201010795730	14.573	1	21	3
2	1	3	201010795790	20.315	1	3	3
0	1	4	201010795871	292.99	1	8	3
12	1	3	201010795978	19.898	1	4	3
7	1	3	201010796008	15.62	1	16	3
0	1	3	201010796128	14.758	1	13	3
99	1	3	201010796242	14.573	1	21	3
0	1	2	201010796283	5.056	1	7	3
1	1	3	201010796408	15.62	1	16	3
0	1	3	201010796445	19.898	1	4	3
0	1	3	201010796532	14.573	1	21	3
16	1	3	201010796544	19.864	1	8	3
0	1	3	201010796545	14.573	1	21	3
0	1	3	201010796601	15.62	1	16	3
0	1	3	201010796615	20.222	1	7	3
9	1	3	201010796642	20.315	1	3	3
7	1	2	201010796788	2.491	1	1	3
0	1	3	201010797033	14.573	1	21	3
12	1	3	201010797049	20.315	1	3	3
98	1	3	201010797130	14.758	1	13	3
98	1	3	201010797167	20.222	1	7	3
0	1	3	201010797383	19.898	1	4	3
0	1	4	201010797397	293.494	1	4	3
8	1	2	201010797505	4.974	1	4	3
21	1	4	201010797560	293.914	1	1	3
0	1	3	201010797599	19.864	1	8	3
2	1	4	201010797628	292.99	1	8	3
2	1	4	201010797681	293.219	1	7	3
0	1	3	201010797732	20.315	1	3	3
99	1	4	201010797757	291.467	1	21	3
4	1	3	201010797949	15.62	1	16	3
0	1	3	201010798260	19.898	1	4	3
99	1	3	201010798330	14.573	1	21	3
0	1	3	201010798427	15.62	1	16	3
0	1	3	201010798439	15.62	1	16	3
18	1	4	201010798489	291.467	1	21	3
99	1	3	201010798495	14.573	1	21	3
0	1	3	201010798502	14.573	1	21	3
0	1	3	201010798530	17.436	1	1	3
0	1	3	201010798624	20.222	1	7	3
21	1	3	201010798666	19.864	1	8	3
2	1	3	201010799000	14.573	1	21	3
0	1	4	201010799203	293.219	1	7	3
0	1	2	201010799221	7.81	1	16	3
0	1	4	201010799262	291.467	1	21	3
3	1	3	201010799290	19.864	1	8	3
99	1	2	201010799473	4.783	1	10	3
2	1	3	201010799481	15.62	1	16	3
0	1	3	201010799683	14.573	1	21	3
0	1	3	201010799736	15.62	1	16	3
0	1	3	201010799846	19.898	1	4	3
12	1	4	201010799918	293.219	1	7	3
19	1	3	201011169098	13.047	1	2	4
4	1	3	201011169505	13.047	1	3	4
1	1	3	201011169901	13.047	1	1	4
12	1	3	201011169901	13.047	1	1	4
0	1	3	201011169992	13.047	1	2	4
0	1	3	201011170075	13.047	1	2	4
7	1	3	201011170499	13.047	1	2	4
2	1	3	201011170531	13.047	1	3	4
1	1	4	201011170693	305.288	1	7	4
5	1	3	201011170842	13.047	1	2	4
12	1	3	201011170967	13.047	1	1	4
0	1	3	201011171104	13.047	1	1	4
4	1	3	201011171227	13.047	1	2	4
6	1	3	201011171263	13.047	1	2	4
21	1	3	201011171264	13.047	1	2	4
0	1	3	201011171273	13.047	1	2	4
