REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PIMPACT2	PV_CONFIG	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT1	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	4	55	2	0	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	999999999999	1997	201010426145	298.606	000000000	0	27	3	399	0	0	7	2	1
1	2	12	78	99	0	0	0	7	1	0	4	0	0	2	0	1	0	26	0	999999999999	1993	201010426272	49.28	999999999	0	26	6	899	1	1	1	2	1
1	4	20	48	0	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	999999999999	2001	201010426367	269.56	000000000	0	29	10	499	1	1	7	2	1
1	4	12	78	0	0	0	0	0	1	0	4	0	0	2	0	1	0	97	19	999999999999	2006	201010426381	295.682	999999999	0	99	6	884	1	1	1	2	1
1	4	48	48	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	999999999999	2008	201010426691	319.935	000000000	0	29	16	499	0	0	7	2	1
1	4	35	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	2001	201010426711	269.434	000000000	0	26	4	399	0	0	7	2	1
1	4	55	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	999999999999	2008	201010426840	298.606	000000000	0	29	2	399	0	0	7	2	1
1	3	42	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	999999999999	2003	201010427239	53.887	000000000	0	29	4	399	0	0	7	2	1
1	3	20	39	77	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	999999999999	2008	201010427610	57.524	000000000	0	30	9	499	0	0	2	2	1
1	4	55	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	999999999999	2008	201010427619	295.682	000000000	0	27	6	399	0	0	7	2	1
1	4	84	68	0	0	0	0	0	1	0	4	0	0	1	0	1	0	25	2	999999999999	2005	201010427881	298.606	1	0	25	1	881	0	0	4	2	1
1	3	2	48	77	0	0	0	0	1	0	0	0	0	1	0	1	0	32	0	999999999999	2004	201010427950	27.146	000000000	0	32	2	499	0	0	7	2	1
1	4	24	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	2007	201010428142	269.56	000000000	0	26	10	399	0	0	7	2	1
1	6	12	49	0	0	0	0	7	2	0	0	0	0	1	0	1	0	27	0	888888888888	2008	201010428164	115.047	000000000	0	27	9	999	0	0	7	2	1
1	6	24	4	0	0	0	0	7	2	0	0	0	0	1	0	1	0	27	0	888888888888	2007	201010428164	115.047	000000000	0	27	9	399	0	0	7	2	2
1	6	35	39	0	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	888888888888	2002	201010428164	115.047	000000000	0	27	9	499	0	0	7	2	3
1	4	7	4	0	0	0	0	7	7	0	0	0	0	1	0	1	0	29	0	999999999999	2000	201010428498	295.682	000000000	0	29	6	399	0	0	7	2	1
1	6	12	49	77	0	0	0	7	2	0	0	0	0	1	0	1	0	32	0	999999999999	2002	201010428971	107.773	000000000	0	26	4	999	0	0	7	2	1
1	4	7	20	77	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	1B4GP44R6YB7	2000	201010700007	291.467	000000000	0	26	21	442	0	0	4	3	1
1	2	32	14	0	0	0	0	7	1	0	0	0	0	1	0	1	0	31	0	WA1BY74L97D0	2007	201010700084	4.966	000000000	0	31	8	401	0	0	7	3	1
