REGION	STRATUM	CASENUM	WEIGHT	EVENTNUM	PGAD	PVEHNO	PJ	PSU
1	4	201010426145	298.606	1	27	1	3	2
1	2	201010426272	49.28	1	26	1	6	2
1	4	201010426367	269.56	1	29	1	10	2
1	4	201010426381	295.682	1	99	1	6	2
1	4	201010426691	319.935	1	29	1	16	2
1	4	201010426711	269.434	1	26	1	4	2
1	4	201010426840	298.606	1	29	1	2	2
1	3	201010427239	53.887	5	29	1	4	2
1	3	201010427610	57.524	2	30	1	9	2
1	4	201010427619	295.682	1	27	1	6	2
1	4	201010427881	298.606	1	25	1	1	2
1	3	201010427950	27.146	2	32	1	2	2
1	4	201010428142	269.56	1	26	1	10	2
1	6	201010428164	115.047	2	27	1	9	2
1	6	201010428164	115.047	3	27	2	9	2
1	6	201010428164	115.047	4	27	3	9	2
1	4	201010428498	295.682	2	29	1	6	2
1	6	201010428971	107.773	2	26	1	4	2
1	4	201010700007	291.467	2	26	1	21	3
1	2	201010700084	4.966	2	31	1	8	3
1	4	201010700221	294.566	2	31	1	3	3
1	4	201010700221	294.566	3	97	2	3	3
1	4	201010700282	296.785	1	26	1	16	3
1	6	201010787259	129.522	1	32	1	1	3
1	6	201010787259	129.522	2	32	2	1	3
1	4	201010787450	293.494	1	27	1	4	3
1	6	201010788066	132.047	2	26	1	3	3
1	4	201010788079	294.566	1	32	1	3	3
1	4	201010788140	291.467	2	32	1	21	3
1	4	201010788214	293.914	1	27	1	1	3
1	4	201010788266	296.785	2	27	1	16	3
1	4	201010788541	292.99	1	32	1	8	3
1	4	201010788665	291.467	1	29	1	21	3
1	2	201010788667	5.056	2	26	1	7	3
1	2	201010788667	5.056	3	26	2	7	3
1	4	201010789402	296.564	1	29	1	10	3
1	4	201010789466	293.914	1	31	1	1	3
1	2	201010789600	5.079	1	28	1	3	3
1	4	201010789634	294.566	1	26	1	3	3
1	3	201010789823	14.573	1	32	1	21	3
1	4	201010789833	291.467	1	32	1	21	3
1	2	201010789881	7.379	1	26	1	13	3
1	2	201010789881	7.379	2	26	2	13	3
1	3	201010789922	14.573	1	23	1	21	3
1	6	201010789956	129.114	1	27	1	8	3
1	4	201010790138	292.99	3	99	1	8	3
1	4	201010790189	293.494	1	29	1	4	3
1	3	201010790231	14.758	1	23	1	13	3
1	4	201010790390	294.566	1	31	1	3	3
1	4	201010790896	292.99	1	25	1	8	3
1	4	201010791402	291.467	2	26	1	21	3
1	4	201010791402	291.467	3	26	2	21	3
1	4	201010791434	294.566	1	32	1	3	3
1	3	201010791462	20.315	1	30	1	3	3
1	1	201010791700	4.783	1	26	1	10	3
1	4	201010792116	291.467	1	23	1	21	3
1	4	201010792130	296.785	2	26	1	16	3
1	4	201010792300	293.914	1	26	1	1	3
1	6	201010792482	132.047	1	27	1	3	3
1	4	201010792693	293.494	1	23	1	4	3
1	4	201010792976	293.219	1	32	1	7	3
1	4	201010793230	293.494	1	32	1	4	3
1	4	201010793614	292.99	1	26	1	8	3
1	6	201010793730	129.522	2	27	1	1	3
1	3	201010793884	19.864	2	29	1	8	3
1	4	201010793984	291.467	1	32	1	21	3
1	4	201010794049	292.99	1	29	1	8	3
1	4	201010794156	296.785	1	32	1	16	3
1	4	201010794283	294.566	1	25	1	3	3
1	4	201010794342	295.16	1	31	1	13	3
1	2	201010794361	4.974	2	32	1	4	3
1	2	201010794361	4.974	6	29	2	4	3
1	2	201010794361	4.974	9	26	3	4	3
1	3	201010794538	19.864	2	26	1	8	3
1	6	201010794599	131.443	1	27	1	7	3
1	3	201010794743	14.573	3	26	1	21	3
1	3	201010794743	14.573	5	29	2	21	3
1	4	201010795195	293.494	5	27	1	4	3
1	4	201010795195	293.494	6	29	2	4	3
1	4	201010795221	295.16	1	30	1	13	3
1	6	201010795253	132.822	1	27	1	13	3
1	5	201010795305	57.288	2	32	1	1	3
1	2	201010795407	5.056	3	27	1	7	3
1	2	201010795407	5.056	4	26	2	7	3
1	2	201010795407	5.056	5	27	3	7	3
1	4	201010795462	295.16	1	32	1	13	3
1	3	201010795517	14.573	2	33	1	21	3
1	5	201010795528	58.293	3	26	1	21	3
1	5	201010795528	58.293	4	26	2	21	3
1	4	201010795884	293.219	1	97	1	7	3
1	4	201010796476	293.914	1	30	1	1	3
1	4	201010796835	294.566	2	62	1	3	3
1	4	201010796926	293.494	1	29	1	4	3
1	5	201010796968	55.611	2	26	1	7	3
1	5	201010796968	55.611	3	26	2	7	3
1	4	201010797135	293.219	1	32	1	7	3
1	4	201010797317	295.16	1	30	1	13	3
1	6	201010797425	131.443	3	26	1	7	3
1	6	201010797425	131.443	4	26	2	7	3
1	2	201010797512	4.974	1	26	1	4	3
1	1	201010797804	7.379	4	26	1	13	3
1	4	201010797930	293.494	1	26	1	4	3
1	4	201010798072	293.219	1	32	1	7	3
1	2	201010798162	2.491	2	27	1	1	3
1	2	201010798162	2.491	3	26	2	1	3
1	5	201010798625	55.611	3	27	1	7	3
1	5	201010798625	55.611	4	23	2	7	3
1	6	201010798667	129.114	2	31	1	8	3
1	6	201010798667	129.114	3	26	2	8	3
1	4	201010798757	296.564	1	32	1	10	3
1	4	201010798854	292.99	1	29	1	8	3
1	5	201010799023	59.591	2	26	1	8	3
1	4	201010799072	293.494	1	26	1	4	3
1	4	201010799242	295.16	1	30	1	13	3
1	4	201010799474	296.785	2	25	1	16	3
1	4	201010799540	294.566	2	26	1	3	3
1	4	201010799676	291.467	1	32	1	21	3
1	4	201011170274	298.504	1	26	1	6	4
1	5	201011170296	54.273	1	27	1	6	4
1	4	201011170338	243.187	2	26	1	17	4
1	4	201011170435	300.07	1	27	1	2	4
1	4	201011170571	305.288	1	26	1	7	4
1	5	201011170782	54.273	1	61	1	6	4
1	4	201011171332	300.07	1	25	1	3	4
1	6	201011171438	118.723	1	29	1	11	4
1	1	201011171503	27.137	6	24	1	6	4
1	4	201011171612	298.504	1	22	1	6	4
1	4	201011171858	300.07	1	30	1	1	4
1	2	201011172177	13.047	1	26	1	1	4
1	6	201011172266	121.593	1	31	1	17	4
1	4	201011172268	243.187	1	29	1	17	4
1	5	201011172288	54.273	1	26	1	6	4
1	4	201011172589	300.07	1	29	1	3	4
1	5	201011173036	59.362	1	26	1	11	4
1	5	201011173163	52.186	1	32	1	2	4
1	6	201011173250	118.723	3	26	1	11	4
1	5	201011173283	52.186	6	32	1	1	4
1	5	201011173283	52.186	7	26	2	1	4
1	5	201011173481	54.273	2	32	1	6	4
1	4	201011173514	300.07	1	26	1	2	4
1	4	201011173539	296.808	1	62	1	11	4
1	4	201011173558	305.288	3	30	1	7	4
1	4	201011173558	305.288	4	23	2	7	4
1	4	201011173908	296.808	1	32	1	11	4
1	4	201011174156	300.07	2	26	1	1	4
1	4	201011174274	243.187	1	61	1	17	4
1	4	201011174365	298.504	1	30	1	6	4
1	4	201011174385	298.504	1	31	1	6	4
1	4	201011174419	243.187	1	62	1	17	4
1	6	201011174481	130.465	1	31	1	3	4
1	2	201011175001	13.047	1	26	1	3	4
1	2	201011175001	13.047	3	26	2	3	4
1	4	201011175100	298.504	1	29	1	6	4
1	6	201011175253	130.465	1	26	1	1	4
1	6	201011175291	135.684	1	28	1	7	4
1	4	201011175557	298.504	1	29	1	6	4
1	4	201011176069	300.07	1	26	1	1	4
1	4	201011176186	296.808	1	27	1	11	4
1	5	201011176600	52.186	1	28	1	3	4
1	4	201011176739	300.07	1	27	1	4	4
1	4	201011176765	305.288	1	28	1	7	4
1	4	201011177108	298.504	1	27	1	6	4
1	3	201011177588	33.921	2	25	1	7	4
1	4	201011177688	296.808	1	63	1	11	4
1	5	201011177752	52.186	3	63	1	3	4
1	5	201011177752	52.186	4	63	2	3	4
1	5	201011177883	52.186	1	63	1	1	4
1	4	201011178115	300.07	1	30	1	1	4
1	4	201011178322	300.07	1	30	1	2	4
1	6	201011178333	130.465	6	26	1	2	4
1	4	201011178586	296.808	2	27	1	11	4
1	5	201011179503	59.362	2	26	1	11	4
1	6	201011179515	118.723	2	32	1	11	4
1	6	201011179515	118.723	3	26	2	11	4
1	3	201011517637	16.459	3	32	1	8	5
1	6	201011518264	132.552	2	27	1	3	5
1	5	201011518376	60.753	2	31	1	3	5
1	5	201011518376	60.753	3	32	2	3	5
1	3	201011518484	16.569	2	29	1	3	5
1	3	201011518484	16.569	4	28	2	3	5
1	6	201011518615	132.552	2	26	1	1	5
1	6	201011518858	131.668	2	26	1	8	5
1	6	201011518858	131.668	3	29	2	8	5
1	6	201011518912	132.552	1	27	1	3	5
1	6	201011518912	132.552	2	97	2	3	5
1	4	201011519027	296.254	1	32	1	8	5
1	2	201011519462	5.523	3	26	1	1	5
1	6	201011519535	132.552	1	26	1	3	5
1	3	201011520154	16.459	2	26	1	8	5
1	3	201011520154	16.459	3	26	2	8	5
1	3	201011520154	16.459	4	26	3	8	5
1	6	201011520412	132.552	2	32	1	3	5
1	1	201012003126	5.488	2	26	1	7	6
1	1	201012003126	5.488	3	26	2	7	6
1	5	201012003339	57.46	3	29	1	4	6
1	6	201012003596	133.38	2	26	1	20	6
1	6	201012003614	134.12	4	34	1	11	6
1	1	201012003646	2.763	5	29	1	1	6
1	1	201012003646	2.763	6	32	2	1	6
1	1	201012003646	2.763	7	29	2	1	6
1	5	201012414679	56.764	2	27	1	15	8
1	6	201012414731	99.48	2	26	1	69	8
1	6	201012414731	99.48	5	25	2	69	8
1	6	201012414731	99.48	6	21	3	69	8
1	6	201012414731	99.48	7	32	4	69	8
1	6	201012414813	98.855	2	28	1	118	8
1	5	201012414948	56.764	3	32	1	15	8
1	5	201012415044	56.764	3	30	1	15	8
1	5	201012415044	56.764	4	27	2	15	8
1	5	201012415044	56.764	5	26	3	15	8
1	3	201012415178	12.435	2	27	1	4	8
1	3	201012415178	12.435	3	26	2	4	8
1	3	201012415178	12.435	5	26	3	4	8
1	6	201012415388	141.911	2	21	1	15	8
1	6	201012415679	141.911	4	27	1	15	8
1	6	201012415679	141.911	5	97	2	15	8
1	3	201012415695	17.303	2	22	1	5	8
1	5	201012415968	44.206	2	31	1	28	8
1	5	201012416002	98.855	2	29	1	119	8
1	5	201012416002	98.855	3	26	2	119	8
1	5	201012416002	98.855	4	21	3	119	8
1	6	201012416046	117.172	2	27	1	47	8
1	6	201012416214	123.095	2	26	1	51	8
1	6	201012416230	124.35	3	29	1	4	8
1	1	201012416301	12.847	4	31	1	2	8
1	5	201012416413	45.154	3	31	1	33	8
1	1	201012416525	17.303	3	32	1	5	8
2	4	201012800782	285.76	2	29	1	2	11
2	1	201012800788	19.051	4	97	1	2	11
2	1	201012800788	19.051	5	97	2	2	11
2	4	201012800860	285.76	1	26	1	2	11
3	6	201013035334	129.532	2	26	1	5	9
3	4	201013035641	292.647	3	62	1	5	9
3	4	201013035671	291.442	1	26	1	8	9
3	2	201013035750	4.798	1	26	1	5	9
3	2	201013035750	4.798	2	26	1	5	9
3	2	201013036052	4.798	2	26	1	5	9
3	6	201013036399	121.475	1	26	1	13	9
3	5	201013036604	48.59	2	26	1	13	9
3	5	201013036637	57.57	2	26	1	3	9
3	3	201013037509	19.19	2	26	1	2	9
3	1	201013037820	4.798	3	63	1	2	9
3	4	201013039193	292.647	2	31	1	5	9
3	4	201013039193	292.647	3	27	2	5	9
3	4	201013040525	292.647	2	28	1	4	9
3	6	201013040610	129.532	2	26	1	3	9
3	3	201013040767	19.19	2	63	1	5	9
3	3	201013040767	19.19	3	26	2	5	9
3	2	201013040816	4.798	1	63	1	5	9
3	5	201013041023	57.57	2	26	1	2	9
3	2	201013041042	4.798	4	63	1	5	9
3	2	201013041042	4.798	7	63	1	5	9
3	2	201013041282	4.798	1	62	1	4	9
3	1	201013041373	4.798	2	26	1	2	9
3	4	201013041393	292.647	2	32	1	2	9
3	6	201013041433	129.532	1	63	1	3	9
3	2	201013041881	4.798	2	26	1	1	9
3	6	201013042371	121.475	1	62	1	13	9
3	3	201013042794	19.19	2	27	1	3	9
3	3	201013042794	19.19	3	27	2	3	9
3	1	201013043205	4.798	2	63	1	2	9
3	4	201013043470	291.442	1	26	1	8	9
3	1	201013043801	4.798	2	26	1	2	9
3	1	201013043801	4.798	3	26	2	2	9
3	1	201013043811	4.798	2	26	1	2	9
2	6	201013533911	133.355	2	26	1	4	11
2	4	201013534693	285.76	1	29	1	2	11
2	4	201013534730	285.76	1	29	1	1	11
2	6	201013535058	133.355	2	32	1	5	11
2	3	201013535744	48.988	4	23	1	7	11
2	6	201013535849	133.355	2	32	1	1	11
2	4	201013535909	285.76	1	61	1	1	11
2	3	201013535913	19.051	1	27	1	1	11
2	4	201013536140	285.76	1	32	1	1	11
2	4	201013536145	285.76	1	27	1	5	11
2	4	201013536341	285.76	1	63	1	2	11
2	3	201013536868	19.051	2	26	1	1	11
2	4	201013537361	285.76	1	28	1	1	11
