CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PIMPACT2	PVEH_SEV	PTOWED	PM_HARM	PFIRE
201110429243	2	54.292	1	5	2	2	3	1	0	1	4	2	14	0	3	0	49	399	4	2001	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110429243	3	54.292	1	5	2	2	3	1	0	1	4	2	14	0	3	0	49	399	4	2006	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	10	10	8	1	14	0
201110429326	2	49.280305	1	5	6	2	3	1	1	1	13	30	45	0	4	0	86	881	63	2006	1M2AG08C26M0	0	88	888888888	88888888888	3	1	4	1	0	0	0	0	0	0	0	14	14	8	2	45	0
201110429483	2	98.56061	1	6	6	2	3	1	1	1	4	48	45	0	4	0	98	809	72	2007	888888888888	0	77	777777777	77777777777	3	19	4	1	0	0	0	0	0	0	0	62	62	9	9	2	0
201110429641	2	215.54684	1	4	4	2	3	1	0	2	0	31	14	0	2	0	63	999	49	2010	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110429646	1	215.54684	1	4	4	2	3	1	0	2	9	23	14	0	2	0	12	399	4	2007	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	8	1	14	0
201110430007	2	54.292	1	5	3	2	3	1	0	3	6	15	31	0	2	0	20	481	31	2011	1GCRKSE3XBZ2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	99	6	2	14	0
201110430007	3	54.292	1	5	3	2	3	1	0	3	6	15	31	0	2	0	20	481	31	2011	1GCRKSE37BZ2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	99	99	8	1	14	0
201110430007	4	54.292	1	5	3	2	3	1	0	3	6	15	31	0	2	0	20	481	31	2011	1GCRKSE30BZ2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110430007	5	54.292	1	5	3	2	3	1	0	3	6	15	31	0	2	0	20	481	31	2011	1GCRKSE35BZ2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110430007	6	54.292	1	5	3	2	3	1	0	3	6	15	31	0	2	0	20	481	31	2011	1GCRKSE30BZ2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110430008	2	217.168	1	4	3	2	3	1	0	3	6	56	14	0	3	1	86	899	66	1996	888888888888	9	77	777777777	77777777777	3	19	98	1	0	0	0	0	0	0	0	11	11	8	1	14	0
201110430268	2	217.168	1	4	1	2	3	1	0	5	20	0	14	0	3	0	34	399	2	1994	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	8	1	12	0
201110430295	1	215.54684	1	4	4	2	3	1	0	4	21	30	14	0	2	0	12	399	4	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	10	10	9	1	12	0
201110430351	2	269.55978	1	4	10	2	3	1	0	5	17	49	14	0	2	0	54	399	4	2004	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	11	8	1	14	0
201110430358	2	115.047462	1	6	9	2	3	1	0	4	5	50	14	0	2	0	20	499	19	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	9	4	12	0
201110430358	3	115.047462	1	6	9	2	3	1	0	4	5	50	14	0	2	0	49	399	4	1985	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	6	8	18	0
201110430358	4	115.047462	1	6	9	2	3	1	0	4	5	50	14	0	2	0	55	499	19	9999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	9	1	12	0
201110430458	2	215.54684	1	4	4	2	3	1	0	5	22	45	14	0	2	0	35	499	14	2007	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	63	8	1	12	0
201110430458	3	215.54684	1	4	4	2	3	1	0	5	22	45	14	0	2	0	20	399	9	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	62	8	1	12	0
201110430784	1	54.292	1	5	1	2	3	1	0	7	19	30	14	0	3	0	23	999	49	2004	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	2	14	0
201110430811	2	217.168	1	4	2	2	3	1	0	6	18	50	14	0	2	0	7	999	49	1999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	11	8	1	12	0
201110431031	1	269.55978	1	4	10	2	3	1	0	8	22	28	14	0	2	0	37	399	4	2002	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	11	0
201110431078	1	107.77342	1	6	4	2	3	1	1	8	15	7	14	0	2	0	32	399	4	2011	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	6	2	12	0
201110431124	2	49.280305	1	3	6	2	3	1	0	8	21	0	14	0	3	0	49	999	49	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	11	6	2	12	0
201110431124	3	49.280305	1	3	6	2	3	1	0	8	21	0	14	0	3	0	53	399	4	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	82	8	1	14	0
201110431124	4	49.280305	1	3	6	2	3	1	0	8	21	0	14	0	3	0	20	999	49	2006	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	81	81	8	1	14	0
201110431254	2	217.168	1	4	3	2	3	1	0	9	13	9	14	0	2	0	7	470	29	2002	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	63	8	1	12	0
201110431312	2	108.584	1	6	2	2	3	1	0	8	8	57	14	0	2	0	7	999	49	1999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	11	8	1	14	0
201110431404	2	108.584	1	6	3	2	3	1	0	9	11	12	14	0	2	0	12	499	39	2008	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110431435	2	269.55978	1	4	10	2	3	1	0	9	11	10	14	0	3	0	22	399	4	1997	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110431435	3	269.55978	1	4	10	2	3	1	0	9	11	10	14	0	3	0	63	999	49	1999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	11	8	1	12	0
201110431536	2	269.55978	1	4	10	2	3	1	0	9	14	55	14	0	2	0	20	399	4	1990	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	63	8	4	12	0
201110431908	2	89.85326	1	6	10	2	3	1	0	10	0	19	14	0	3	0	20	9	2	1994	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	62	8	1	12	0
201110431908	3	89.85326	1	6	10	2	3	1	0	10	0	19	14	0	3	0	12	471	30	2000	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110432038	1	269.55978	1	4	10	2	3	1	0	11	15	9	14	0	3	0	55	399	4	2012	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110432062	2	215.54684	1	4	4	2	3	1	0	10	19	33	14	0	3	0	51	399	9	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110432178	2	49.280305	1	5	6	2	3	1	0	11	7	50	43	0	2	0	37	399	4	2003	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110432377	3	89.85326	1	6	10	2	3	2	0	11	13	14	12	7	2	0	12	999	49	2004	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	82	8	1	12	0
201110432602	2	269.55978	1	4	10	2	3	1	0	12	10	59	14	0	3	0	12	499	39	2000	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110432917	1	115.047462	1	6	9	2	3	1	2	12	16	44	14	0	2	0	18	399	2	1994	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	6	2	12	0
201110700291	3	5.078716	1	2	3	3	1	2	1	1	12	40	12	7	3	0	12	473	30	2002	1FMDU75W32UA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	63	8	1	14	0
201110700477	3	43.720116	1	5	21	3	1	2	0	1	10	45	12	99	3	0	18	399	4	1998	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	2	8	1	14	0
