CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201110429484	0	1	215.54684	1	4	4	2	3	8
201110429526	0	1	27.146	1	3	1	2	3	1
201110429542	0	1	217.168	1	4	2	2	3	1
201110429558	0	1	217.168	1	4	2	2	3	1
201110429562	0	1	89.85326	1	3	10	2	3	1
201110429644	0	1	53.88671	1	3	4	2	3	1
201110430359	0	1	53.88671	1	3	4	2	3	1
201110430687	0	1	53.88671	1	3	4	2	3	1
201110430891	0	1	57.523731	1	3	9	2	3	2
201110430953	0	1	89.85326	1	3	10	2	3	1
201110430970	0	1	27.146	1	3	3	2	3	1
201110431018	0	1	230.094924	1	4	9	2	3	2
201110431052	0	1	27.146	1	3	1	2	3	1
201110431079	0	1	53.88671	1	3	4	2	3	1
201110431670	0	1	49.280305	1	3	6	2	3	1
201110431870	0	1	53.88671	1	3	4	2	3	2
201110432194	0	1	215.54684	1	4	4	2	3	1
201110432430	0	1	27.146	1	3	2	2	3	1
201110700485	0	1	14.923428	1	3	4	3	1	1
201110700561	0	1	7.810128	1	2	16	3	1	8
201110700636	0	1	14.349849	1	3	10	3	1	1
201110700695	0	1	15.236148	1	3	3	3	1	1
201110700786	0	1	14.75799	1	3	13	3	1	8
201110700874	0	1	14.573372	1	3	21	3	1	1
201110701165	0	1	12.454	1	3	1	3	1	1
201110701207	0	1	7.810128	1	2	16	3	1	1
201110701294	0	1	223.466985	1	4	8	3	1	1
201110701427	0	1	15.236148	1	3	3	3	1	1
201110701560	0	1	14.897799	1	3	8	3	1	9
201110701595	0	1	14.573372	1	3	21	3	1	1
201110701636	0	1	14.349849	1	3	10	3	1	1
201110701679	0	1	223.85142	1	4	4	3	1	1
201110701696	0	1	15.620256	1	3	16	3	1	2
201110701975	0	1	14.923428	1	3	4	3	1	1
201110702017	0	1	15.166506	1	3	7	3	1	1
201110702084	0	1	14.573372	1	3	21	3	1	1
201110702569	0	1	14.897799	1	3	8	3	1	1
201110702621	0	1	15.236148	1	3	3	3	1	1
201110702850	0	1	14.349849	1	3	10	3	1	9
201110702956	0	1	15.166506	1	3	7	3	1	1
201110703012	0	1	15.620256	1	3	16	3	1	1
201110703019	0	1	7.810128	1	2	16	3	1	1
201110703062	0	1	14.897799	1	3	8	3	1	1
201110703323	0	1	14.923428	1	3	4	3	1	1
201110703333	0	1	14.923428	1	3	4	3	1	1
201110703333	0	2	14.923428	1	3	4	3	1	1
201110703423	0	1	15.236148	1	3	3	3	1	1
201110703530	0	1	223.466985	1	4	8	3	1	1
201110703574	0	1	223.85142	1	4	4	3	1	1
201110703736	0	1	14.75799	1	3	13	3	1	1
201110703944	0	1	227.49759	1	4	7	3	1	1
201110703993	0	1	14.75799	1	3	13	3	1	1
201110704019	0	1	15.620256	1	3	16	3	1	1
201110704059	0	1	14.573372	1	3	21	3	1	1
201110704124	0	1	4.974476	1	2	4	3	1	1
201110704304	0	1	14.349849	1	3	10	3	1	1
201110704348	0	1	224.172	1	4	1	3	1	1
201110704367	0	1	12.454	1	3	1	3	1	1
201110704377	0	1	223.466985	1	4	8	3	1	1
201110704497	0	1	15.236148	1	3	3	3	1	8
201110704804	0	1	15.166506	1	3	7	3	1	1
201110704988	0	1	15.236148	1	3	3	3	1	1
201110705025	0	1	5.055502	1	1	7	3	1	1
201110705046	0	1	14.75799	1	3	13	3	1	1
201110705130	0	1	14.573372	1	3	21	3	1	1
201110705140	0	1	14.573372	1	3	21	3	1	1
201110705168	0	1	12.454	1	3	1	3	1	1
201110705304	0	1	15.166506	1	3	7	3	1	1
201110705402	0	1	15.620256	1	3	16	3	1	1
201110705468	0	1	15.236148	1	3	3	3	1	1
201110705541	0	1	221.36985	1	4	13	3	1	1
201110705550	0	1	14.75799	1	3	13	3	1	1
201110705597	0	1	14.897799	1	3	8	3	1	1
201110705599	0	1	14.573372	1	3	21	3	1	1
201110705624	0	1	226.493712	1	4	16	3	1	1
