CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MVIOLATN
201110429156	1	89.85326	1	6	10	2	3	0
201110429160	1	89.85326	1	6	10	2	3	0
201110429166	1	215.54684	1	4	4	2	3	0
201110429192	1	27.146	1	3	3	2	3	0
201110429197	1	217.168	1	4	3	2	3	0
201110429197	2	217.168	1	4	3	2	3	0
201110429199	1	108.584	1	6	3	2	3	0
201110429232	1	108.584	1	6	2	2	3	11
201110429232	1	108.584	1	6	2	2	3	23
201110429232	1	108.584	1	6	2	2	3	72
201110429235	1	89.85326	1	5	10	2	3	0
201110429239	1	269.55978	1	4	10	2	3	0
201110429240	1	108.584	1	6	2	2	3	0
201110429243	1	54.292	1	5	2	2	3	23
201110429243	1	54.292	1	5	2	2	3	69
201110429246	1	89.85326	1	1	10	2	3	71
201110429246	1	89.85326	1	1	10	2	3	72
201110429250	1	89.85326	1	6	10	2	3	0
201110429252	1	54.292	1	5	1	2	3	58
201110429252	2	54.292	1	5	1	2	3	0
201110429256	1	217.168	1	4	1	2	3	0
201110429259	1	54.292	1	5	1	2	3	0
201110429262	1	108.584	1	6	1	2	3	7
201110429262	1	108.584	1	6	1	2	3	11
201110429262	1	108.584	1	6	1	2	3	19
201110429262	1	108.584	1	6	1	2	3	29
201110429262	1	108.584	1	6	1	2	3	52
201110429262	1	108.584	1	6	1	2	3	59
201110429266	1	217.168	1	4	3	2	3	0
201110429270	1	108.584	1	6	3	2	3	23
201110429270	2	108.584	1	6	3	2	3	0
201110429270	3	108.584	1	6	3	2	3	0
201110429295	1	108.584	1	6	1	2	3	58
201110429295	2	108.584	1	6	1	2	3	0
201110429300	1	54.292	1	5	3	2	3	0
201110429305	1	217.168	1	4	3	2	3	0
201110429305	2	217.168	1	4	3	2	3	0
201110429306	1	108.584	1	6	3	2	3	0
201110429306	2	108.584	1	6	3	2	3	0
201110429314	1	49.280305	1	5	6	2	3	0
201110429317	1	49.280305	1	1	6	2	3	0
201110429317	2	49.280305	1	1	6	2	3	52
201110429318	1	89.85326	1	6	10	2	3	0
201110429318	2	89.85326	1	6	10	2	3	0
201110429319	1	49.280305	1	5	6	2	3	0
201110429320	1	89.85326	1	6	10	2	3	0
201110429322	1	89.85326	1	6	10	2	3	0
201110429323	1	98.56061	1	6	6	2	3	0
201110429324	1	89.85326	1	6	10	2	3	52
201110429326	1	49.280305	1	5	6	2	3	0
201110429327	1	98.56061	1	6	6	2	3	0
201110429328	1	89.85326	1	6	10	2	3	23
201110429330	1	89.85326	1	6	10	2	3	23
201110429330	1	89.85326	1	6	10	2	3	71
201110429331	1	98.56061	1	6	6	2	3	0
201110429332	1	89.85326	1	6	10	2	3	0
201110429334	1	269.55978	1	4	10	2	3	0
201110429334	2	269.55978	1	4	10	2	3	0
201110429335	1	246.401525	1	4	6	2	3	0
201110429336	1	89.85326	1	5	10	2	3	0
201110429337	1	49.280305	1	5	6	2	3	0
201110429339	1	89.85326	1	6	10	2	3	0
201110429340	1	98.56061	1	6	6	2	3	23
201110429343	1	98.56061	1	6	6	2	3	0
201110429345	1	98.56061	1	6	6	2	3	0
201110429349	1	107.77342	1	6	4	2	3	0
201110429350	1	98.56061	1	6	6	2	3	0
201110429350	2	98.56061	1	6	6	2	3	0
201110429354	1	98.56061	1	6	6	2	3	0
201110429354	2	98.56061	1	6	6	2	3	0
201110429355	1	49.280305	1	5	6	2	3	0
201110429367	1	217.168	1	4	1	2	3	0
201110429368	1	108.584	1	6	1	2	3	0
201110429375	1	217.168	1	4	3	2	3	72
201110429375	2	217.168	1	4	3	2	3	0
201110429379	1	108.584	1	6	3	2	3	0
201110429385	1	108.584	1	6	2	2	3	0
201110429395	1	246.401525	1	4	6	2	3	0
201110429395	2	246.401525	1	4	6	2	3	0
201110429396	1	98.56061	1	6	6	2	3	0
201110429398	1	98.56061	1	6	6	2	3	72
201110429402	1	115.047462	1	6	9	2	3	0
201110429403	1	89.85326	1	6	10	2	3	0
201110429404	1	89.85326	1	6	10	2	3	0
201110429404	2	89.85326	1	6	10	2	3	0
201110429405	1	89.85326	1	5	10	2	3	46
201110429405	1	89.85326	1	5	10	2	3	71
201110429405	2	89.85326	1	5	10	2	3	0
201110429408	1	269.55978	1	4	10	2	3	0
201110429409	1	89.85326	1	6	10	2	3	0
201110429409	2	89.85326	1	6	10	2	3	0
201110429410	1	115.047462	1	6	9	2	3	2
201110429410	1	115.047462	1	6	9	2	3	12
201110429410	1	115.047462	1	6	9	2	3	23
201110429411	1	89.85326	1	6	10	2	3	0
201110429411	2	89.85326	1	6	10	2	3	0
201110429413	1	230.094924	1	4	9	2	3	0
201110429414	1	89.85326	1	6	10	2	3	0
201110429418	1	115.047462	1	6	9	2	3	0
201110429420	1	115.047462	1	6	9	2	3	0
201110429421	1	215.54684	1	4	4	2	3	0
201110429424	1	107.77342	1	6	4	2	3	0
201110429424	2	107.77342	1	6	4	2	3	0
201110429424	3	107.77342	1	6	4	2	3	0
201110429425	1	115.047462	1	6	9	2	3	0
201110429426	1	57.523731	1	5	9	2	3	23
201110429426	1	57.523731	1	5	9	2	3	52
201110429426	1	57.523731	1	5	9	2	3	71
201110429426	2	57.523731	1	5	9	2	3	0
201110429430	1	115.047462	1	6	9	2	3	42
201110429430	2	115.047462	1	6	9	2	3	0
201110429432	1	230.094924	1	4	9	2	3	0
201110429432	2	230.094924	1	4	9	2	3	0
201110429434	1	115.047462	1	6	9	2	3	0
201110429437	1	57.523731	1	5	9	2	3	0
201110429438	1	115.047462	1	6	9	2	3	0
201110429449	1	108.584	1	6	3	2	3	0
201110429449	2	108.584	1	6	3	2	3	0
201110429452	1	217.168	1	4	3	2	3	0
201110429458	1	98.56061	1	6	6	2	3	0
201110429460	1	98.56061	1	6	6	2	3	0
201110429464	1	98.56061	1	6	6	2	3	0
201110429464	2	98.56061	1	6	6	2	3	52
201110429466	1	246.401525	1	4	6	2	3	0
201110429468	1	89.85326	1	6	10	2	3	58
201110429468	1	89.85326	1	6	10	2	3	71
201110429468	2	89.85326	1	6	10	2	3	0
201110429468	3	89.85326	1	6	10	2	3	0
201110429471	1	98.56061	1	6	6	2	3	0
201110429471	2	98.56061	1	6	6	2	3	0
201110429478	1	107.77342	1	6	4	2	3	58
201110429478	2	107.77342	1	6	4	2	3	0
201110429479	1	246.401525	1	4	6	2	3	0
201110429483	1	98.56061	1	6	6	2	3	0
201110429484	1	215.54684	1	4	4	2	3	7
201110429487	1	98.56061	1	6	6	2	3	23
201110429489	1	49.280305	1	1	6	2	3	46
201110429489	2	49.280305	1	1	6	2	3	0
201110429491	1	49.280305	1	5	6	2	3	0
201110429505	1	108.584	1	6	1	2	3	0
201110429505	2	108.584	1	6	1	2	3	0
201110429512	1	27.146	1	2	1	2	3	45
201110429512	2	27.146	1	2	1	2	3	0
201110429513	1	217.168	1	4	1	2	3	0
201110429516	1	54.292	1	5	1	2	3	89
201110429524	1	108.584	1	6	1	2	3	0
201110429524	2	108.584	1	6	1	2	3	0
201110429526	1	27.146	1	3	1	2	3	0
201110429530	1	108.584	1	6	1	2	3	0
201110429537	1	108.584	1	6	3	2	3	0
201110429537	2	108.584	1	6	3	2	3	0
201110429542	1	217.168	1	4	2	2	3	7
201110429542	1	217.168	1	4	2	2	3	71
201110429542	1	217.168	1	4	2	2	3	89
201110429548	1	27.146	1	1	2	2	3	29
201110429548	1	27.146	1	1	2	2	3	89
201110429549	1	108.584	1	6	2	2	3	0
201110429549	2	108.584	1	6	2	2	3	0
201110429557	1	108.584	1	6	2	2	3	0
201110429558	1	217.168	1	4	2	2	3	4
201110429560	1	269.55978	1	4	10	2	3	0
201110429560	2	269.55978	1	4	10	2	3	0
201110429561	1	89.85326	1	6	10	2	3	0
201110429562	1	89.85326	1	3	10	2	3	0
201110429562	2	89.85326	1	3	10	2	3	95
201110429564	1	98.56061	1	6	6	2	3	0
201110429564	2	98.56061	1	6	6	2	3	0
201110429565	1	89.85326	1	5	10	2	3	11
201110429565	1	89.85326	1	5	10	2	3	12
201110429566	1	49.280305	1	5	6	2	3	0
201110429568	1	89.85326	1	6	10	2	3	0
201110429570	1	246.401525	1	4	6	2	3	0
201110429573	1	269.55978	1	4	10	2	3	0
201110429573	2	269.55978	1	4	10	2	3	0
201110429575	1	89.85326	1	1	10	2	3	0
201110429575	2	89.85326	1	1	10	2	3	0
201110429579	1	246.401525	1	4	6	2	3	29
201110429584	1	98.56061	1	6	6	2	3	71
201110429586	1	49.280305	1	2	6	2	3	0
201110429586	2	49.280305	1	2	6	2	3	0
201110429589	1	246.401525	1	4	6	2	3	23
201110429590	1	98.56061	1	6	6	2	3	0
201110429593	1	98.56061	1	6	6	2	3	0
201110429597	1	98.56061	1	6	6	2	3	0
201110429625	1	54.292	1	5	3	2	3	71
201110429625	1	54.292	1	5	3	2	3	74
201110429625	2	54.292	1	5	3	2	3	0
201110429626	1	54.292	1	5	2	2	3	0
201110429626	2	54.292	1	5	2	2	3	0
201110429633	1	27.146	1	1	2	2	3	52
201110429634	1	269.55978	1	4	10	2	3	0
201110429634	2	269.55978	1	4	10	2	3	0
201110429637	1	269.55978	1	4	10	2	3	0
201110429637	2	269.55978	1	4	10	2	3	0
201110429641	1	215.54684	1	4	4	2	3	0
201110429644	1	53.88671	1	3	4	2	3	0
201110429646	2	215.54684	1	4	4	2	3	0
201110429647	1	107.77342	1	6	4	2	3	0
201110429647	2	107.77342	1	6	4	2	3	72
201110429647	2	107.77342	1	6	4	2	3	74
201110429648	1	217.168	1	4	3	2	3	0
201110429665	1	108.584	1	6	1	2	3	0
201110429665	2	108.584	1	6	1	2	3	0
201110429666	1	217.168	1	4	1	2	3	0
201110429674	1	217.168	1	4	3	2	3	0
201110429674	2	217.168	1	4	3	2	3	0
201110429677	1	54.292	1	5	3	2	3	0
201110429677	2	54.292	1	5	3	2	3	0
201110429679	1	108.584	1	6	3	2	3	0
201110429679	2	108.584	1	6	3	2	3	0
201110429683	1	246.401525	1	4	6	2	3	0
201110429684	1	98.56061	1	6	6	2	3	0
201110429684	2	98.56061	1	6	6	2	3	0
201110429689	1	98.56061	1	6	6	2	3	45
201110429689	2	98.56061	1	6	6	2	3	45
201110429692	1	49.280305	1	5	6	2	3	13
201110429692	1	49.280305	1	5	6	2	3	69
201110429693	1	269.55978	1	4	10	2	3	0
201110429694	1	230.094924	1	4	9	2	3	0
201110429694	2	230.094924	1	4	9	2	3	0
201110429698	1	107.77342	1	6	4	2	3	74
201110429698	2	107.77342	1	6	4	2	3	37
201110429700	1	53.88671	1	5	4	2	3	0
201110429700	2	53.88671	1	5	4	2	3	0
201110429701	1	115.047462	1	6	9	2	3	0
201110429701	2	115.047462	1	6	9	2	3	7
201110429701	2	115.047462	1	6	9	2	3	11
201110429701	2	115.047462	1	6	9	2	3	39
201110429703	1	230.094924	1	4	9	2	3	0
201110429708	1	230.094924	1	4	9	2	3	0
201110429713	1	230.094924	1	4	9	2	3	0
201110429713	2	230.094924	1	4	9	2	3	0
201110429714	1	115.047462	1	6	9	2	3	0
201110429717	1	115.047462	1	6	9	2	3	52
201110429721	1	230.094924	1	4	9	2	3	0
201110429721	2	230.094924	1	4	9	2	3	58
201110429723	1	115.047462	1	6	9	2	3	0
201110429726	1	115.047462	1	6	9	2	3	19
201110429726	1	115.047462	1	6	9	2	3	23
201110429726	2	115.047462	1	6	9	2	3	74
201110429729	1	230.094924	1	4	9	2	3	58
201110429729	2	230.094924	1	4	9	2	3	0
201110429730	1	57.523731	1	2	9	2	3	0
201110429730	2	57.523731	1	2	9	2	3	0
201110429732	1	115.047462	1	6	9	2	3	0
201110429732	2	115.047462	1	6	9	2	3	0
201110429733	1	57.523731	1	5	9	2	3	0
201110429733	2	57.523731	1	5	9	2	3	0
201110429736	1	57.523731	1	2	9	2	3	0
201110429736	2	57.523731	1	2	9	2	3	0
201110429737	1	57.523731	1	5	9	2	3	3
201110429737	1	57.523731	1	5	9	2	3	19
201110429737	1	57.523731	1	5	9	2	3	83
201110429738	1	115.047462	1	6	9	2	3	11
201110429738	1	115.047462	1	6	9	2	3	12
201110429738	1	115.047462	1	6	9	2	3	23
201110429747	1	108.584	1	6	2	2	3	0
201110429748	1	54.292	1	5	1	2	3	58
201110429748	2	54.292	1	5	1	2	3	0
201110429754	1	217.168	1	4	2	2	3	0
201110429758	1	27.146	1	1	2	2	3	11
201110429758	1	27.146	1	1	2	2	3	23
201110429758	1	27.146	1	1	2	2	3	29
201110429758	1	27.146	1	1	2	2	3	71
201110429758	1	27.146	1	1	2	2	3	83
201110429759	1	27.146	1	2	1	2	3	46
201110429759	2	27.146	1	2	1	2	3	0
201110429761	1	54.292	1	5	1	2	3	0
201110429761	2	54.292	1	5	1	2	3	0
201110429764	1	27.146	1	2	1	2	3	23
201110429764	2	27.146	1	2	1	2	3	0
201110429765	1	27.146	1	2	1	2	3	12
201110429765	1	27.146	1	2	1	2	3	52
201110429765	2	27.146	1	2	1	2	3	0
201110429768	1	108.584	1	6	1	2	3	0
201110429771	1	217.168	1	4	1	2	3	0
201110429771	2	217.168	1	4	1	2	3	0
201110429774	1	27.146	1	2	1	2	3	0
201110429774	2	27.146	1	2	1	2	3	0
201110429780	1	217.168	1	4	3	2	3	0
201110429780	2	217.168	1	4	3	2	3	0
201110429783	1	49.280305	1	5	6	2	3	37
201110429783	2	49.280305	1	5	6	2	3	0
201110429784	1	246.401525	1	4	6	2	3	0
201110429784	2	246.401525	1	4	6	2	3	71
201110429786	1	98.56061	1	6	6	2	3	0
201110429786	2	98.56061	1	6	6	2	3	0
201110429793	1	246.401525	1	4	6	2	3	0
201110429793	2	246.401525	1	4	6	2	3	0
201110429795	1	49.280305	1	1	6	2	3	0
201110429795	2	49.280305	1	1	6	2	3	0
201110429797	1	49.280305	1	2	6	2	3	0
201110429801	1	98.56061	1	6	6	2	3	0
201110429803	1	246.401525	1	4	6	2	3	0
201110429804	1	98.56061	1	6	6	2	3	0
201110429805	1	53.88671	1	5	4	2	3	0
201110429809	1	98.56061	1	6	6	2	3	0
201110429813	1	49.280305	1	1	6	2	3	49
201110429813	2	49.280305	1	1	6	2	3	23
201110429814	1	98.56061	1	6	6	2	3	0
201110429814	2	98.56061	1	6	6	2	3	0
201110429818	1	98.56061	1	6	6	2	3	0
201110429850	1	108.584	1	6	3	2	3	0
201110429850	2	108.584	1	6	3	2	3	0
201110429856	1	27.146	1	1	1	2	3	0
201110429857	1	89.85326	1	5	10	2	3	12
201110429857	1	89.85326	1	5	10	2	3	23
201110429857	1	89.85326	1	5	10	2	3	52
201110429857	2	89.85326	1	5	10	2	3	0
201110429859	1	89.85326	1	5	10	2	3	0
