CASENUM	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	EVENTNUM	VNUMBER1	AOI1	SOE	VNUMBER2	AOI2
201310436487	179.70652	1	6	10	2	3	1	1	12	11	9999	77
201310436580	217.168	1	6	2	2	3	1	1	55	63	5555	55
201310436580	217.168	1	6	2	2	3	2	1	12	48	9999	77
201310436580	217.168	1	6	2	2	3	3	1	55	67	5555	55
201310436580	217.168	1	6	2	2	3	4	1	3	30	9999	77
201310436595	323.32026	1	4	4	2	3	1	2	12	12	1	6
201310436599	344.962135	1	4	6	2	3	1	1	12	11	9999	77
201310436605	197.12122	1	6	6	2	3	1	2	12	12	1	12
201310436613	359.41304	1	4	10	2	3	1	2	3	12	1	9
201310436617	179.70652	1	6	10	2	3	1	1	55	64	5555	55
201310436617	179.70652	1	6	10	2	3	2	1	12	24	9999	77
201310436619	359.41304	1	4	10	2	3	1	2	12	12	1	6
201310436659	352.898	1	4	1	2	3	1	2	12	12	1	6
201310436662	54.292	1	2	1	2	3	1	1	82	12	2	9
201310436676	352.898	1	4	3	2	3	1	1	62	12	2	82
201310436684	215.54684	1	6	4	2	3	1	2	12	12	1	6
201310436713	217.168	1	6	3	2	3	1	2	12	12	1	3
201310436714	352.898	1	4	3	2	3	1	2	12	12	1	83
201310436717	107.77342	1	5	4	2	3	1	1	55	64	5555	55
201310436717	107.77342	1	5	4	2	3	2	1	12	43	9999	77
201310436717	107.77342	1	5	4	2	3	3	1	0	1	9999	77
201310436719	323.32026	1	4	4	2	3	1	1	55	68	5555	55
201310436719	323.32026	1	4	4	2	3	2	1	62	12	2	63
201310436725	98.56061	1	5	6	2	3	1	1	55	68	5555	55
201310436725	98.56061	1	5	6	2	3	2	2	12	12	1	3
201310436726	344.962135	1	4	6	2	3	1	2	12	12	1	3
201310436735	197.12122	1	6	6	2	3	1	1	55	64	5555	55
201310436735	197.12122	1	6	6	2	3	2	1	12	30	9999	77
201310436740	344.962135	1	4	6	2	3	1	2	12	12	1	6
201310436747	197.12122	1	6	6	2	3	1	1	55	63	5555	55
201310436747	197.12122	1	6	6	2	3	2	1	3	53	9999	77
201310436747	197.12122	1	6	6	2	3	3	1	12	30	9999	77
201310436750	344.962135	1	4	6	2	3	1	1	12	11	9999	77
201310436757	98.56061	1	5	6	2	3	1	1	55	63	5555	55
201310436757	98.56061	1	5	6	2	3	2	1	82	48	9999	77
201310436757	98.56061	1	5	6	2	3	3	1	12	42	9999	77
201310436759	344.962135	1	4	6	2	3	1	1	12	11	9999	77
201310436768	197.12122	1	6	6	2	3	1	1	55	63	5555	55
201310436768	197.12122	1	6	6	2	3	2	1	12	48	9999	77
