CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MFACTOR
201310436487	1	179.70652	1	6	10	2	3	0
201310436580	1	217.168	1	6	2	2	3	99
201310436595	1	323.32026	1	4	4	2	3	0
201310436595	2	323.32026	1	4	4	2	3	0
201310436599	1	344.962135	1	4	6	2	3	0
201310436605	1	197.12122	1	6	6	2	3	0
201310436605	2	197.12122	1	6	6	2	3	0
201310436613	1	359.41304	1	4	10	2	3	0
201310436613	2	359.41304	1	4	10	2	3	0
201310436617	1	179.70652	1	6	10	2	3	0
201310436619	1	359.41304	1	4	10	2	3	0
201310436619	2	359.41304	1	4	10	2	3	0
201310436659	1	352.898	1	4	1	2	3	0
201310436659	2	352.898	1	4	1	2	3	0
201310436662	1	54.292	1	2	1	2	3	0
201310436662	2	54.292	1	2	1	2	3	0
201310436676	1	352.898	1	4	3	2	3	0
201310436676	2	352.898	1	4	3	2	3	0
201310436684	1	215.54684	1	6	4	2	3	0
201310436684	2	215.54684	1	6	4	2	3	0
201310436713	1	217.168	1	6	3	2	3	0
201310436713	2	217.168	1	6	3	2	3	0
201310436714	1	352.898	1	4	3	2	3	0
201310436714	2	352.898	1	4	3	2	3	0
201310436717	1	107.77342	1	5	4	2	3	0
201310436719	1	323.32026	1	4	4	2	3	0
201310436719	2	323.32026	1	4	4	2	3	0
201310436725	1	98.56061	1	5	6	2	3	0
201310436725	2	98.56061	1	5	6	2	3	0
201310436726	1	344.962135	1	4	6	2	3	0
201310436726	2	344.962135	1	4	6	2	3	0
201310436735	1	197.12122	1	6	6	2	3	0
201310436740	1	344.962135	1	4	6	2	3	0
201310436740	2	344.962135	1	4	6	2	3	0
201310436747	1	197.12122	1	6	6	2	3	0
201310436750	1	344.962135	1	4	6	2	3	0
201310436757	1	98.56061	1	5	6	2	3	0
201310436759	1	344.962135	1	4	6	2	3	0
201310436768	1	197.12122	1	6	6	2	3	0
201310436769	1	98.56061	1	5	6	2	3	0
201310436774	1	89.85326	1	5	10	2	3	0
201310436774	2	89.85326	1	5	10	2	3	0
201310436785	1	217.168	1	6	1	2	3	0
201310436795	1	217.168	1	6	1	2	3	0
201310436795	2	217.168	1	6	1	2	3	0
201310436797	1	81.438	1	5	1	2	3	0
201310436806	1	81.438	1	5	3	2	3	0
201310436819	1	323.32026	1	4	4	2	3	0
201310436819	2	323.32026	1	4	4	2	3	0
201310436820	1	215.54684	1	6	4	2	3	0
201310436835	1	230.094924	1	6	9	2	3	0
201310436836	1	345.142386	1	4	9	2	3	0
201310436836	2	345.142386	1	4	9	2	3	0
201310436844	1	345.142386	1	4	9	2	3	0
201310436844	2	345.142386	1	4	9	2	3	0
201310436851	1	230.094924	1	6	9	2	3	0
201310436853	1	345.142386	1	4	9	2	3	0
201310436856	1	57.523731	1	1	9	2	3	0
201310436858	1	179.70652	1	6	10	2	3	0
201310436859	1	89.85326	1	5	10	2	3	0
201310436861	1	179.70652	1	6	10	2	3	0
201310436861	2	179.70652	1	6	10	2	3	0
201310436864	1	352.898	1	4	1	2	3	0
201310436864	2	352.898	1	4	1	2	3	0
201310436878	1	352.898	1	4	3	2	3	0
201310436878	2	352.898	1	4	3	2	3	0
201310436883	1	215.54684	1	6	4	2	3	0
201310436883	2	215.54684	1	6	4	2	3	0
201310436883	3	215.54684	1	6	4	2	3	0
201310436885	1	107.77342	1	5	4	2	3	0
201310436885	2	107.77342	1	5	4	2	3	0
201310436890	1	323.32026	1	4	4	2	3	0
201310436892	1	107.77342	1	5	4	2	3	0
201310436894	1	49.280305	1	1	6	2	3	0
201310436894	2	49.280305	1	1	6	2	3	0
201310436895	1	344.962135	1	4	6	2	3	0
201310436902	1	197.12122	1	6	6	2	3	0
201310436905	1	344.962135	1	4	6	2	3	0
201310436907	1	98.56061	1	5	6	2	3	0
201310436914	1	359.41304	1	4	10	2	3	0
201310436914	2	359.41304	1	4	10	2	3	0
201310436914	3	359.41304	1	4	10	2	3	0
201310436919	1	179.70652	1	6	10	2	3	0
201310436920	1	359.41304	1	4	10	2	3	0
201310436932	1	27.146	1	1	1	2	3	0
201310436932	2	27.146	1	1	1	2	3	0
201310436945	1	323.32026	1	4	4	2	3	0
201310436945	2	323.32026	1	4	4	2	3	0
201310436948	1	215.54684	1	6	4	2	3	0
201310436956	1	179.70652	1	6	10	2	3	0
201310436957	1	89.85326	1	5	10	2	3	0
201310436958	1	359.41304	1	4	10	2	3	0
201310436958	2	359.41304	1	4	10	2	3	0
201310436967	1	217.168	1	6	3	2	3	0
201310436967	2	217.168	1	6	3	2	3	0
201310436977	1	344.962135	1	4	6	2	3	0
201310436981	1	197.12122	1	6	6	2	3	0
201310436986	1	98.56061	1	5	6	2	3	0
201310436986	2	98.56061	1	5	6	2	3	0
201310436989	1	197.12122	1	6	6	2	3	0
201310436995	1	344.962135	1	4	6	2	3	0
201310436995	2	344.962135	1	4	6	2	3	0
201310436998	1	197.12122	1	6	6	2	3	0
201310436998	2	197.12122	1	6	6	2	3	0
201310437002	1	89.85326	1	3	10	2	3	0
201310437004	1	179.70652	1	6	10	2	3	0
201310437004	2	179.70652	1	6	10	2	3	0
201310437006	1	359.41304	1	4	10	2	3	0
201310437030	1	323.32026	1	4	4	2	3	0
201310437030	2	323.32026	1	4	4	2	3	0
201310437037	1	215.54684	1	6	4	2	3	0
201310437037	2	215.54684	1	6	4	2	3	0
201310437039	1	323.32026	1	4	4	2	3	0
201310437052	1	344.962135	1	4	6	2	3	0
201310437052	2	344.962135	1	4	6	2	3	0
201310437061	1	197.12122	1	6	6	2	3	0
201310437063	1	344.962135	1	4	6	2	3	0
201310437063	2	344.962135	1	4	6	2	3	0
201310437067	1	197.12122	1	6	6	2	3	1
201310437068	1	98.56061	1	5	6	2	3	0
201310437073	1	98.56061	1	5	6	2	3	0
201310437078	1	197.12122	1	6	6	2	3	0
201310437081	1	344.962135	1	4	6	2	3	0
