CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MTM_CRSH
201310436895	0	1	344.962135	1	4	6	2	3	19
201310436895	0	1	344.962135	1	4	6	2	3	21
201310437002	0	1	89.85326	1	3	10	2	3	13
201310437002	0	1	89.85326	1	3	10	2	3	14
201310437447	0	1	49.280305	1	1	6	2	3	0
201310437632	0	1	344.962135	1	4	6	2	3	16
201310437798	0	1	53.88671	1	3	4	2	3	3
201310437798	0	1	53.88671	1	3	4	2	3	21
201310437814	0	1	49.280305	1	3	6	2	3	0
201310437890	0	1	27.146	1	3	2	2	3	9
201310438262	0	1	89.85326	1	3	10	2	3	2
201310438262	0	1	89.85326	1	3	10	2	3	3
201310438513	0	1	89.85326	1	3	10	2	3	1
201310438557	0	1	27.146	1	3	3	2	3	21
201310438980	0	1	27.146	1	3	3	2	3	6
201310439119	0	1	53.88671	1	3	4	2	3	0
201310439194	0	1	27.146	1	1	1	2	3	0
201310439272	0	1	27.146	1	3	3	2	3	0
201310439600	0	1	27.146	1	3	2	2	3	0
201310439609	0	1	27.146	1	3	2	2	3	0
201310439616	0	1	27.146	1	3	2	2	3	2
201310439995	0	1	27.146	1	3	3	2	3	1
201310440064	0	1	27.146	1	3	2	2	3	0
201310440064	0	2	27.146	1	3	2	2	3	0
201310440064	0	3	27.146	1	3	2	2	3	0
201310440092	0	1	49.280305	1	3	6	2	3	2
201310724454	0	1	23.430384	1	3	16	3	1	0
201310725211	0	1	19.897904	1	3	4	3	1	0
201310725266	0	1	14.573372	1	3	21	3	1	0
201310725343	0	1	20.222008	1	3	7	3	1	0
201310725400	0	1	23.430384	1	3	16	3	1	7
201310725458	0	1	208.227356	1	6	3	3	1	0
201310725493	0	1	19.133132	1	3	10	3	1	0
201310725557	0	1	19.863732	1	3	8	3	1	0
201310725702	0	1	210.464452	1	6	10	3	1	1
201310725719	0	1	19.9264	1	3	1	3	1	0
201310725876	0	1	20.222008	1	3	7	3	1	2
201310725876	0	1	20.222008	1	3	7	3	1	6
201310725899	0	1	22.136985	1	3	13	3	1	2
201310725936	0	1	14.573372	1	3	21	3	1	0
201310726070	0	1	14.573372	1	3	21	3	1	6
201310726327	0	1	19.897904	1	3	4	3	1	0
201310726418	0	1	22.136985	1	3	13	3	1	98
201310726422	0	1	346.812765	1	4	13	3	1	0
201310726565	0	1	14.573372	1	3	21	3	1	0
201310726565	0	2	14.573372	1	3	21	3	1	0
201310726577	0	1	349.760928	1	4	21	3	1	99
201310726608	0	1	22.136985	1	3	13	3	1	0
201310727003	0	1	19.863732	1	3	8	3	1	2
201310727132	0	1	19.897904	1	3	4	3	1	0
201310727501	0	1	20.222008	1	3	7	3	1	0
201310727797	0	1	351.45576	1	4	16	3	1	2
201310727797	0	1	351.45576	1	4	16	3	1	3
201310727816	0	1	93.721536	1	5	16	3	1	0
201310727987	0	1	19.863732	1	3	8	3	1	0
201310728039	0	1	20.222008	1	3	7	3	1	0
201310728132	0	1	20.314864	1	3	3	3	1	1
201310728138	0	1	19.133132	1	3	10	3	1	1
201310728213	0	1	19.897904	1	3	4	3	1	1
201310728287	0	1	22.136985	1	3	13	3	1	2
201310728662	0	1	14.573372	1	3	21	3	1	2
201310728996	0	1	22.136985	1	3	13	3	1	1
201310729028	0	1	20.222008	1	3	7	3	1	0
201310729057	0	1	19.9264	1	3	1	3	1	0
201310729108	0	1	350.431404	1	4	3	3	1	1
201310729221	0	1	20.314864	1	3	3	3	1	0
201310729509	0	1	22.136985	1	3	13	3	1	0
201310729596	0	1	19.897904	1	3	4	3	1	2
201310729617	0	1	19.133132	1	3	10	3	1	0
201310729684	0	1	20.314864	1	3	3	3	1	1
201310729684	0	1	20.314864	1	3	3	3	1	3
201310729706	0	1	350.431404	1	4	3	3	1	0
201310729754	0	1	14.573372	1	3	21	3	1	0
201310729868	0	1	19.133132	1	3	10	3	1	7
201310729895	0	1	19.863732	1	3	8	3	1	0
201310730218	0	1	349.760928	1	4	21	3	1	2
201310730286	0	1	19.897904	1	3	4	3	1	1
201310730286	0	1	19.897904	1	3	4	3	1	2
201310730297	0	1	20.314864	1	3	3	3	1	0
201310730430	0	1	19.863732	1	3	8	3	1	99
201310730582	0	1	351.45576	1	4	16	3	1	7
201310730606	0	1	19.133132	1	3	10	3	1	1
201310730706	0	1	14.573372	1	3	21	3	1	1
201310730727	0	1	20.314864	1	3	3	3	1	1
201310730727	0	1	20.314864	1	3	3	3	1	2
201310730811	0	1	23.430384	1	3	16	3	1	1
201310731218	0	1	14.573372	1	3	21	3	1	0
201310731219	0	1	19.863732	1	3	8	3	1	1
201310731267	0	1	19.9264	1	3	1	3	1	0
201310731414	0	1	20.222008	1	3	7	3	1	0
201310731510	0	1	20.314864	1	3	3	3	1	0
201310731673	0	1	19.863732	1	3	8	3	1	0
201310731746	0	1	14.573372	1	3	21	3	1	0
201310731790	0	1	19.133132	1	3	10	3	1	0
201310731954	0	1	19.863732	1	3	8	3	1	0
201310732003	0	1	23.430384	1	3	16	3	1	2
201310732075	0	1	20.314864	1	3	3	3	1	2
201310732223	0	1	19.897904	1	3	4	3	1	0
201310732251	0	1	348.829638	1	4	7	3	1	2
201310732251	0	1	348.829638	1	4	7	3	1	3
201310732272	0	1	20.314864	1	3	3	3	1	0
201310732342	0	1	22.136985	1	3	13	3	1	0
201310732551	0	1	19.863732	1	3	8	3	1	0
201310732616	0	1	20.222008	1	3	7	3	1	21
201310732772	0	1	14.573372	1	3	21	3	1	0
201310732781	0	1	14.573372	1	3	21	3	1	0
201310732791	0	1	19.9264	1	3	1	3	1	6
201310732952	0	1	20.314864	1	3	3	3	1	21
