CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_FORMS	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201310436806	2	81.438	1	5	3	2	3	1	0	1	3	40	53	0	3	0	37	999	49	2001	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	8	12	0	0	0
201310437039	2	323.32026	1	4	4	2	3	1	0	2	16	57	14	0	2	0	12	999	49	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0
201310437078	2	197.12122	1	6	6	2	3	1	1	2	6	0	14	0	2	0	48	399	4	1996	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0
201310437179	2	323.32026	1	4	4	2	3	1	0	3	12	6	14	0	2	0	37	399	2	2007	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	8	12	0	0	0
201310437364	2	352.898	1	4	2	2	3	1	1	3	17	49	14	0	2	0	30	399	4	2012	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0
201310437485	2	215.54684	1	6	4	2	3	1	0	4	11	10	14	0	2	0	23	999	49	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	8	12	0	0	0
201310437700	3	179.70652	1	6	10	2	3	2	0	4	13	38	12	6	3	0	42	999	49	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	6	2	12	0	0	0
201310437785	2	352.898	1	4	1	2	3	1	0	5	1	22	14	0	2	0	7	399	4	1998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0
201310437994	2	352.898	1	4	3	2	3	1	0	6	10	38	14	0	2	0	35	399	4	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0
201310438016	2	323.32026	1	4	4	2	3	1	0	6	17	43	14	0	2	0	48	399	4	2004	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	5	12	0	0	0
201310438024	1	359.41304	1	4	10	2	3	1	0	6	17	13	14	0	2	0	37	399	4	1996	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	8	12	0	0	0
201310438075	1	344.962135	1	4	6	2	3	1	0	6	0	0	14	0	2	0	35	399	4	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0
201310438542	2	352.898	1	4	2	2	3	1	1	7	21	3	14	0	2	0	18	399	4	2013	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0
201310438611	2	230.094924	1	6	9	2	3	1	0	6	0	25	14	0	3	0	20	399	4	2002	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0
201310438695	3	89.85326	1	1	10	2	3	2	0	8	9	56	12	6	3	0	35	399	4	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0
201310438709	2	27.146	1	1	1	2	3	1	0	8	9	9	17	0	3	0	37	499	30	2006	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0
201310438870	2	49.280305	1	2	6	2	3	1	0	8	2	44	14	0	2	0	20	884	78	2000	888888888888	0	77	777777777	77777777777	8	19	98	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0
201310439035	2	106.644961	1	5	16	2	3	1	1	8	13	45	45	0	4	0	98	998	93	2006	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	5	12	0	0	0
201310439400	2	359.41304	1	4	10	2	3	1	0	10	14	42	14	0	2	0	49	399	2	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0
