200500050342 1 127  233   18.16
200500050474 1 127  233   18.16
200500051071 1 127  133   18.16
200500051146 1 127  133   18.16
200500051193 1 127  133   18.16
200500051395 1 127  133   18.16
200500051568 1 127  133   18.16
200500051735 1 127  233   18.16
200500051814 1 127  232    9.08
200500051947 1 127  233   18.16
200500052492 1 127  133   18.16
200510408778 1 1 2  613   49.28
200510408960 1 1 2  414  269.43
200510409063 1 1 2  214  298.61
200510409134 1 1 2  913   57.52
200510409395 1 1 2  613   49.28
200510409435 1 1 2  315   81.44
200510409460 1 1 2  213   27.15
200510409887 1 1 2  613   49.28
200510410021 1 1 2  613   49.28
200510410167 1 2 2 1613  106.65
200510410191 1 1 2  313   27.15
200510410275 1 2 2  113   27.15
200510410401 1 1 2 1616  106.65
200510410411 1 1 2  313   27.15
200510410794 1 1 2  414  269.43
200510411209 1 1 2  614  295.68
200510411414 1 1 2  913   57.52
200510411461 1 1 2  313   27.15
200510727553 1 1 3  813   19.86
200510727732 1 1 3 1313   14.76
200510727732 2 1 3 1313   14.76
200510727779 1 1 3  313   20.32
200510727803 1 1 3 2114  291.47
200510727958 1 1 3 1612    7.81
200510728190 1 1 3 2113   14.57
200510728306 1 1 3  314  294.57
200510728583 1 1 3 2113   14.57
200510728728 1 1 3  413   19.90
200510728753 1 1 3  713   20.22
200510728793 1 1 3  113   17.44
200510728823 1 1 3  312    5.08
200510728914 1 1 3 1313   14.76
200510729803 1 9 3 1613   15.62
200510730035 1 1 3  813   19.86
200510730035 2 1 3  813   19.86
200510730071 1 1 3 2114  291.47
200510730092 1 1 3  313   20.32
200510730115 1 1 3  314  294.57
200510730174 1 1 3  712    5.06
200510730249 1 1 3  312    5.08
200510730249 2 1 3  312    5.08
200510730405 1 1 3  813   19.86
200510730482 1 1 3 1013   19.13
200510730532 1 1 3 2113   14.57
200510731151 1 1 3 2113   14.57
200510731206 1 1 3 1614  296.79
200510731433 1 1 3  313   20.32
200510731568 1 1 3 2113   14.57
200510731819 1 1 3 2113   14.57
200510731826 1 1 3 2112   14.57
200510731968 1 1 3 1013   19.13
200510732122 1 1 3  313   20.32
200510732190 1 1 3 2113   14.57
200510732435 1 1 3  313   20.32
200510732462 1 1 3  314  294.57
200510732500 1 1 3 1612    7.81
200510732516 1 1 3  413   19.90
200510732605 1 1 3 1313   14.76
200510732927 1 1 3 1014  296.56
200510733032 1 1 3  813   19.86
200510733208 1 1 3  713   20.22
200510733224 1 1 3 1313   14.76
200510733668 1 2 3 1613   15.62
200510733668 2 1 3 1613   15.62
200510733668 3 1 3 1613   15.62
200510733668 4 1 3 1613   15.62
200510733689 1 1 3 2113   14.57
200510733915 1 1 3  113   17.44
200510733928 1 1 3  115   69.74
200510733928 2 1 3  115   69.74
200510733958 1 1 3 1313   14.76
200510733958 2 1 3 1313   14.76
200510733988 1 2 3 1613   15.62
200510734148 1 1 3 2114  291.47
200510734189 1 1 3  313   20.32
200510734320 1 1 3 1313   14.76
200510734347 1 1 3 1614  296.79
200510734570 1 1 3  413   19.90
200510734705 1 1 3  313   20.32
200510734768 1 9 3  413   19.90
200510734789 1 1 3 2113   14.57
200510734967 1 1 3  713   20.22
200510735076 1 1 3  813   19.86
200510735223 1 1 3 1013   19.13
200510735375 1 1 3 2113   14.57
200510735460 1 1 3 1313   14.76
200510735600 1 1 3  313   20.32
200510736077 1 1 3  813   19.86
200510736358 1 1 3  113   17.44
200510736463 1 1 3  813   19.86
200510736516 1 1 3  313   20.32
200510736546 1 1 3 1013   19.13
200510736572 1 1 3  813   19.86
200510736635 1 1 3  713   20.22
200510736728 1 1 3 2114  291.47
200510737048 1 1 3 1613   15.62
200510737069 1 1 3 2115   72.87
200510737153 1 1 3  413   19.90
200510737153 2 1 3  413   19.90
200510737231 1 1 3  813   19.86
200510737878 1 1 3  713   20.22
200510737903 1 1 3 1613   15.62
200510738071 1 1 3  413   19.90
200511120122 1 1 4  413   13.05
200511120290 1 1 4  213   13.05
200511120793 1 1 4  613   27.14
200511120907 1 1 4  213   13.05
200511121100 1 1 4  213   13.05
200511121527 1 9 4  113   13.05
200511121569 1 1 4  213   13.05
200511121983 1 1 4  213   13.05
200511122839 1 1 4  713   33.92
200511122877 1 2 4  413   13.05
200511122981 1 1 4  713   33.92
200511123123 1 1 4  316  130.47
200511123123 2 1 4  316  130.47
200511123189 1 1 4 1715  121.59
200511123479 1 2 4  713   33.92
200511123484 1 1 4  713   33.92
200511123526 1 1 4  313   13.05
200511123858 1 1 4  213   13.05
200511123933 1 8 4  313   13.05
200511123947 1 1 4  313   13.05
200511124290 1 1 4 1113   59.36
200511124427 1 1 4  213   13.05
200511124592 1 1 4  213   13.05
200511124640 1 1 4  113   13.05
200511124874 1 1 4  313   13.05
200511124890 1 2 4  313   13.05
200511124893 1 1 4  212   13.05
200511125161 1 1 4  113   13.05
200511125251 1 1 4  313   13.05
200511125270 1 1 4  213   13.05
200511125432 1 1 4  213   13.05
200511125516 1 1 4  613   27.14
200511125564 1 1 4  113   13.05
200511125708 1 1 4  613   27.14
200511125710 1 1 4  313   13.05
200511125920 1 8 4  113   13.05
200511125970 1 1 4  313   13.05
200511126140 1 1 4  113   13.05
200511126394 1 1 4  113   13.05
200511126410 1 1 4  613   27.14
200511126416 1 1 4  714  305.29
200511126593 1 1 4  613   27.14
200511126636 1 1 4  616  135.68
200511126770 1 1 4  613   27.14
200511126966 1 1 4  713   33.92
200511127170 1 1 4  613   27.14
200511127186 1 1 4  213   13.05
200511127538 1 1 4  113   13.05
200511128325 1 1 4  113   13.05
200511128567 1 1 4  113   13.05
200511128962 1 1 4  213   13.05
200511504165 1 1 5  813   16.46
200511504452 1 1 5  514  289.30
200511504453 1 1 5  313   16.57
200511504809 1 1 5 1613   22.42
200511505000 1 1 5  513   16.07
200511505131 1 1 5 1113   21.10
