200710414974 192 2  215   54.29
200710414979 1 0 2  314  244.31
200710414979 2 0 2  314  244.31
200710414984 1 0 2  316  108.58
200710414990 1 0 2 1014  269.56
200710414991 1 0 2 1016   89.85
200710414993 1 0 2  415   53.89
200710414993 2 0 2  415   53.89
200710414993 3 0 2  415   53.89
200710414993 4 0 2  415   53.89
200710414996 150 2  414  269.43
200710414998 1 0 2  416  107.77
200710414998 2 0 2  416  107.77
200710415032 1 0 2  614  246.40
200710415035 1 0 2  615   49.28
200710415037 1 0 2  616   98.56
200710415047 1 0 2  112   27.15
200710415047 2 0 2  112   27.15
200710415051 1 0 2  314  244.31
200710415051 2 0 2  314  244.31
200710415059 1 0 2 1016   89.85
200710415060 1 0 2 1016   89.85
200710415060 2 0 2 1016   89.85
200710415072 1 0 2  315   54.29
200710415072 2 0 2  315   54.29
200710415073 1 0 2  314  244.31
200710415073 2 0 2  314  244.31
200710415075 1 0 2  316  108.58
200710415075 2 0 2  316  108.58
200710415075 3 0 2  316  108.58
200710415076 1 0 2  312   27.15
200710415076 2 0 2  312   27.15
200710415078 1 0 2  613   49.28
200710415079 1 0 2  614  246.40
200710415079 2 0 2  614  246.40
200710415080 1 0 2  615   49.28
200710415080 2 0 2  615   49.28
200710415085 1 0 2  614  246.40
200710415085 2 0 2  614  246.40
200710415086 1 0 2  615   49.28
200710415089 1 0 2  416  107.77
200710415089 2 0 2  416  107.77
200710415092 1 0 2  414  269.43
200710415092 2 0 2  414  269.43
200710415093 1 3 2  416  107.77
200710415097 1 0 2 1016   89.85
200710415098 1 0 2 1014  269.56
200710415106 1 0 2  212   27.15
200710415106 2 0 2  212   27.15
200710415108 1 0 2  214  244.31
200710415109 1 3 2  216  108.58
200710415140 1 4 2  914  230.10
200710415141 1 0 2  915   57.52
200710415143 1 0 2  916  115.05
200710415147 193 2  916  115.05
200710415147 293 2  916  115.05
200710415148 1 0 2  914  230.10
200710415160 1 0 2  116  108.58
200710415160 2 0 2  116  108.58
200710415160 3 0 2  116  108.58
200710415162 1 0 2  114  244.31
200710415170 1 0 2 1016   89.85
200710415171 1 0 2 1016   89.85
200710415172 1 4 2 1016   89.85
200710415173 1 0 2 1016   89.85
200710415179 1 0 2  415   53.89
200710415179 2 0 2  415   53.89
200710415184 1 0 2  615   49.28
200710415184 2 0 2  615   49.28
200710415184 3 0 2  615   49.28
200710415186 1 0 2  616   98.56
200710415187 1 0 2  615   49.28
200710415187 2 0 2  615   49.28
200710415190 1 0 2  616   98.56
200710415191 1 0 2  614  246.40
200710415196 1 0 2  216  108.58
200710415196 2 0 2  216  108.58
200710415196 3 0 2  216  108.58
200710415200 1 0 2  216  108.58
200710415200 2 0 2  216  108.58
200710415201 1 0 2  215   54.29
200710415208 1 0 2 1015   89.85
200710415208 2 0 2 1015   89.85
200710415209 1 0 2 1014  269.56
200710415209 2 0 2 1014  269.56
200710415211 1 0 2 1016   89.85
200710415211 250 2 1016   89.85
200710415212 1 0 2 1012   89.85
200710415212 2 0 2 1012   89.85
200710415214 1 0 2 1015   89.85
200710415215 1 3 2 1012   89.85
200710415217 1 0 2  414  269.43
200710415218 1 0 2  416  107.77
200710415222 1 0 2  416  107.77
200710415225 1 0 2  215   54.29
200710415232 1 4 2  216  108.58
200710415235 1 0 2  316  108.58
200710415240 1 0 2  314  244.31
200710415240 2 0 2  314  244.31
200710415242 1 0 2  315   54.29
200710415242 2 0 2  315   54.29
200710415247 1 0 2  615   49.28
200710415250 1 0 2  615   49.28
200710415250 2 0 2  615   49.28
200710415251 1 0 2  616   98.56
200710415258 1 0 2  914  230.10
200710415258 2 0 2  914  230.10
200710415259 1 0 2  916  115.05
200710415259 2 0 2  916  115.05
200710415263 1 0 2  914  230.10
200710415266 1 0 2  915   57.52
200710415266 2 0 2  915   57.52
200710415268 1 0 2  914  230.10
200710415273 1 0 2  916  115.05
200710415274 1 0 2  915   57.52
200710415275 1 0 2  914  230.10
200710415291 1 0 2  116  108.58
200710415296 1 0 2  114  244.31
200710415296 2 0 2  114  244.31
200710415297 1 0 2  112   27.15
200710415297 2 0 2  112   27.15
200710415298 1 0 2  111   27.15
200710415301 1 0 2  116  108.58
200710415313 150 2  315   54.29
